node time word
1 0 21
1 0 1
1 0 3
1 0 6
1 0 5
1 0 6
1 0 1
1 0 1
1 0 4
1 0 1
1 0 1
1 0 3
1 0 28
1 0 2
1 0 2
1 0 1
1 0 8
1 0 10
1 0 5
1 0 2
1 6 1
1 6 182
1 6 8
1 6 1
1 19 3
1 19 13
1 59 1
1 59 2
1 59 1
1 62 1
1 62 1
1 76 1
1 76 1
1 76 2
1 76 1
1 76 5
1 76 1
1 76 1
1 87 1
1 87 4
1 88 1
1 88 8
1 88 8
1 88 1
1 88 5
1 88 13
1 88 1
1 103 3
1 104 2
1 104 2
1 110 1
1 110 1
1 110 8
1 112 2
1 112 3
1 112 16
1 114 1
1 114 2
1 114 32
1 114 26
1 120 2
1 121 52
1 121 3
1 143 2
1 143 1
1 143 86
1 173 1
1 173 23
1 173 2
1 173 1
1 175 4
1 175 53
1 175 1
1 175 1
1 175 1
1 190 3
1 190 1
1 190 5
1 190 5
1 190 1
1 191 8
1 199 2
1 199 250
1 205 2
1 205 21
1 205 46
1 206 3
1 206 1
1 206 5
1 206 2
1 206 1
1 206 3
1 207 2
1 207 1
1 207 26
1 207 3
1 212 1
1 215 23
1 215 17
1 215 17
1 221 51
1 221 2
1 221 3
1 225 76
1 225 1
1 241 1
1 241 9
1 241 4
1 241 1
1 245 2
1 245 16
1 245 2
1 245 1
1 260 4
1 260 16
1 260 2
1 260 2
1 260 92
1 271 1
1 271 2
1 281 833
1 281 1
1 281 2
1 285 1
1 285 1
1 285 1
1 291 8
1 293 1
1 293 1
1 293 5
1 293 12
1 293 1
1 294 55
1 296 2
1 296 1
1 300 2
1 300 1
1 329 1
1 329 3
1 329 2
1 329 5
1 329 1
1 331 2
1 339 48
1 339 1
1 339 53
1 339 3
1 339 16
1 339 3
1 342 2
1 342 1
1 342 3
1 351 2
1 351 1
1 351 2
1 351 1
1 351 1
1 351 5
1 351 2
1 351 7
1 354 4
1 368 10
1 368 3
1 368 1
1 379 1
1 379 2
1 384 1
1 384 34
1 384 2
1 398 5
1 404 2
1 404 6
1 404 1
1 404 1
1 407 15
1 407 1
1 407 1
1 407 4
1 410 27
1 410 4
1 410 6
1 412 5
1 412 6
1 412 1
1 419 3
1 419 4
1 419 1
1 419 11
1 427 16
1 427 25
1 438 1
1 438 3
1 439 13
1 439 1
1 446 85
1 446 2
1 446 1
1 446 3
1 448 5
1 448 1
1 448 7
1 448 10
1 448 4
1 448 1
1 448 85
1 448 1
1 452 2
1 452 1
1 452 8
1 452 12
1 452 4
1 452 1
1 452 38
1 456 1
1 456 1
1 458 14
1 458 1
1 459 18
1 473 1
1 473 1
1 475 27
1 475 54
1 475 17
1 475 2
1 477 1
1 477 1
1 477 50
1 477 1
1 490 1
1 490 3
1 490 8
1 490 1
1 490 1
1 490 1
1 491 7
1 491 2
1 501 5
1 501 3
1 501 14
1 501 2
1 501 1
1 508 1
1 508 3
1 508 18
1 508 1
1 508 1
1 516 1
1 516 1
1 516 212
1 526 5
1 526 3
1 526 39
1 526 1
1 527 2
1 527 7
1 540 2
1 540 7
1 540 1
1 540 2
1 540 7
1 544 2
1 544 1
1 544 17
1 545 1
1 545 1
1 545 3
1 545 7
1 545 3
1 545 1
1 553 37
1 553 1
1 553 146
1 553 1
1 559 4
1 559 14
1 559 501
1 561 1
1 561 1
1 561 2
1 561 18
1 561 1
1 561 1
1 572 2
1 576 1
1 576 1
1 576 1
1 576 1
1 576 82
1 576 1
1 588 2
1 588 1
1 596 8
1 596 1
1 596 34
1 596 12
1 596 1
1 601 3
1 601 805
1 604 439
1 604 9
1 604 4
1 604 1
1 604 26
1 610 157
1 610 693
1 610 1
1 610 3
1 612 3
1 612 12
1 612 233
1 621 1
1 621 18
1 621 1
1 621 1
1 624 4
1 641 2
1 641 1
1 645 13
1 645 339
1 645 1
1 647 3
1 647 5
1 656 298
1 656 25
1 671 25
1 671 11
1 671 2
1 678 1
1 678 1
1 678 14
1 678 1
1 702 8
1 702 1
1 706 19
1 706 3
1 708 1
1 708 1
1 717 11
1 717 2
1 717 3
1 717 24
1 717 1
1 718 56
1 718 9
1 718 1
1 718 8
1 718 9
1 718 1
1 724 1
1 724 1
1 728 2
1 728 2
1 728 1
1 735 158
1 735 1
1 735 7
1 741 1
1 741 1
1 746 3
1 746 17
1 760 19
1 760 1
1 776 2
1 776 17
1 776 68
1 783 1
1 783 5
1 783 1
1 783 1
1 783 1
1 784 2
1 784 4
1 790 330
1 793 1
1 793 3
1 793 1
1 797 13
1 797 3
1 799 36
1 799 4
1 799 4
1 799 2
1 801 2
1 801 1
1 808 2
1 808 47
1 808 1
1 813 17
1 813 1
1 813 2
1 813 1
1 813 10
1 813 1
1 818 2
1 818 6
1 818 6
1 819 1
1 820 1
1 820 1
1 820 6
1 830 20
1 830 2
1 830 2
1 830 1
1 846 35
1 846 307
1 850 4
1 850 6
1 860 2
1 860 1
1 865 42
1 865 2
1 865 3
1 865 3
1 865 2
1 875 4
1 875 2
1 883 2
1 884 4
1 884 1
1 884 2
1 884 4
1 884 1
1 895 27
1 895 2
1 895 45
1 895 1
1 895 1
1 896 1
1 896 1
1 896 1
1 896 1
1 907 1
1 907 2
1 915 4
1 915 24
1 915 9
1 915 1
1 916 7
1 916 1
1 921 1
1 921 3
1 927 59
1 927 6
1 927 1
1 928 1
1 928 1
1 967 3
1 967 69
1 967 1
1 967 6
1 976 14
1 976 3
1 976 1
1 976 4
1 976 4
1 976 432
1 976 2
1 980 1
1 988 1
1 988 141
1 988 1
1 995 91
1 995 2
1 1006 1
1 1006 9
1 1006 1
1 1008 13
1 1008 1
1 1008 1
1 1008 1
1 1008 1
1 1021 1
1 1029 1
1 1029 3
1 1029 39
1 1029 11
1 1031 1
1 1031 40
1 1031 4
1 1031 1
1 1031 1
1 1031 1
1 1031 23
1 1031 22
1 1041 3
1 1041 1
1 1052 66
1 1052 1
1 1052 3
1 1052 2
1 1061 1
1 1061 1
1 1061 11
1 1065 91
1 1065 33
1 1065 1
1 1065 1
1 1068 1
1 1079 1
1 1079 1
1 1079 204
1 1080 263
1 1080 2
1 1080 1
1 1080 169
1 1089 5
1 1089 1
1 1097 1
1 1106 1
1 1106 163
1 1107 1
1 1107 1
1 1116 2
1 1116 1
1 1120 1
1 1120 8
1 1120 10
1 1121 1
1 1121 3
1 1121 11
1 1123 1
1 1123 1
1 1126 72
1 1126 1
1 1126 1
1 1135 4
1 1135 2
1 1144 2
1 1144 5
1 1144 7
1 1144 132
1 1144 8
1 1144 2
1 1151 1
1 1151 1
1 1151 4
1 1164 14
1 1164 1
1 1176 16
1 1176 1
1 1176 734
1 1176 3
1 1176 2
1 1176 1
1 1176 22
1 1176 1
1 1177 1
1 1177 1
1 1177 1
1 1177 2
1 1177 2
1 1181 2
1 1181 1
1 1181 2
1 1181 3
1 1181 2
1 1185 3
1 1195 3
1 1195 13
1 1195 1
1 1195 10
1 1195 1
1 1195 2
1 1195 97
1 1201 1
1 1201 22
1 1201 21
1 1201 153
1 1202 300
1 1202 1
1 1202 1
1 1203 1
1 1203 1
1 1203 7
1 1203 11
1 1203 1
1 1203 25
1 1206 1
1 1206 3
1 1207 1
1 1207 1
1 1207 1
1 1230 1
1 1236 1
1 1236 1
1 1236 13
1 1236 19
1 1249 1
1 1249 2
1 1249 5
1 1249 1
1 1251 1
1 1251 2
1 1251 1
1 1253 1
1 1253 1
1 1257 2
1 1257 7
1 1257 4
1 1257 1
1 1265 1
1 1265 5
1 1265 4
1 1265 20
1 1265 2
1 1265 1
1 1265 1
1 1296 776
1 1296 1
1 1296 1
1 1296 12
1 1313 1
1 1313 1
1 1313 1
1 1313 19
1 1324 1
1 1324 28
1 1324 1
1 1336 5
1 1336 1
1 1336 1
1 1336 7
1 1336 1
1 1337 1
1 1337 34
1 1337 1
1 1343 2
1 1345 1
1 1345 106
1 1348 1
1 1348 16
1 1352 1
1 1359 1
1 1359 1
1 1359 1
1 1359 54
1 1360 1
1 1360 210
1 1360 1
1 1366 1
1 1366 5
1 1366 23
1 1366 1
1 1367 1
1 1367 7
1 1375 9
1 1375 20
1 1382 14
1 1382 212
1 1382 1
1 1382 1
1 1390 1
1 1390 54
1 1390 4
1 1390 2
1 1393 1
1 1393 5
1 1396 27
1 1396 884
1 1400 2
1 1400 2
1 1401 429
1 1401 2
1 1421 1
1 1427 1
1 1427 1
1 1427 1
1 1427 1
1 1433 137
1 1433 4
1 1433 1
1 1440 1
1 1443 1
1 1443 3
1 1443 15
1 1450 1
1 1450 7
1 1450 2
1 1450 25
1 1450 1
1 1450 23
1 1452 1
1 1452 83
1 1452 10
1 1452 1
1 1453 1
1 1453 3
1 1458 2
1 1458 7
1 1458 4
1 1458 1
1 1461 1
1 1467 1
1 1467 3
1 1467 54
1 1467 2
1 1470 41
1 1470 1
1 1476 1
1 1476 1
1 1476 2
1 1476 2
1 1476 1
1 1477 2
1 1477 30
1 1477 1
1 1477 6
1 1478 3
1 1487 4
1 1487 49
1 1493 1
1 1506 1
1 1513 1
1 1513 1
1 1532 1
1 1532 11
1 1532 3
1 1534 1
1 1537 3
1 1537 5
1 1537 1
1 1539 3
1 1539 5
1 1539 2
1 1539 8
1 1539 1
1 1541 4
1 1541 2
1 1541 2
1 1541 9
1 1542 3
1 1548 1
1 1548 259
1 1548 2
1 1549 13
1 1556 1
1 1556 1
1 1556 1
1 1566 10
1 1566 1
1 1566 1
1 1568 1
1 1568 13
1 1568 1
1 1572 16
1 1572 2
1 1572 3
1 1573 1
1 1573 94
1 1574 3
1 1576 1
1 1576 1
1 1576 1
1 1576 1
1 1577 4
1 1577 71
1 1577 4
1 1577 6
1 1577 1
1 1577 11
1 1591 16
1 1591 2
1 1591 1
1 1591 7
1 1591 15
1 1591 1
1 1592 55
1 1592 1
1 1592 4
1 1592 2
1 1592 3
1 1594 2
1 1594 1
1 1594 1
1 1594 2
1 1594 1
1 1612 7
1 1612 3
1 1612 9
1 1612 9
1 1612 3
1 1612 3
1 1613 1
1 1633 3
1 1633 4
1 1634 4
1 1634 1
1 1644 2
1 1644 3
1 1644 4
1 1660 59
1 1660 1
1 1662 11
1 1662 4
1 1662 4
1 1662 4
1 1662 1
1 1664 1
1 1664 8
1 1664 28
1 1671 1
1 1675 91
1 1675 14
1 1675 6
1 1675 4
1 1676 768
1 1676 3
1 1676 1
1 1678 1
1 1678 1
1 1678 9
1 1678 159
1 1678 3
1 1697 2
1 1725 1
1 1734 4
1 1734 10
1 1743 2
1 1766 1
1 1769 1
1 1769 3
1 1769 5
1 1770 1
1 1770 2
1 1770 5
1 1780 388
1 1781 15
1 1781 1
1 1781 1
1 1781 10
1 1781 5
1 1781 1
1 1781 1
1 1781 5
1 1782 3
1 1782 643
1 1782 1
1 1782 25
1 1801 1
1 1801 3
1 1801 8
1 1801 11
1 1801 1
1 1801 1
1 1828 1
1 1828 3
1 1828 504
1 1828 1
1 1838 25
1 1838 1
1 1838 335
1 1841 2
1 1841 2
1 1841 1
1 1841 1
1 1841 2
1 1844 5
1 1844 1
1 1844 1
1 1844 2
1 1844 12
1 1846 1
1 1870 1
