node time word
1 0 2
1 0 1
1 0 19
1 0 37
1 0 1
1 0 1
1 0 45
1 0 2
1 0 2
1 0 12
1 0 4
1 0 3
1 0 1
1 0 4
1 0 42
1 0 2
1 0 3
1 0 1
1 0 3
1 0 1
1 1 3
1 1 239
1 14 1
1 14 1
1 14 1
1 21 5
1 21 1
1 21 1
1 21 3
1 21 4
1 22 1
1 22 1
1 23 6
1 23 1
1 23 1
1 24 1
1 24 1
1 39 8
1 39 4
1 49 5
1 49 1
1 49 1
1 54 12
1 54 4
1 54 3
1 54 1
1 55 5
1 55 7
1 55 2
1 55 239
1 60 1
1 60 1
1 60 8
1 60 2
1 60 5
1 60 1
1 60 1
1 60 6
1 66 6
1 66 1
1 66 1
1 68 1
1 68 1
1 68 8
1 76 2
1 87 1
1 87 5
1 87 1
1 88 1
1 88 1
1 98 3
1 98 239
1 98 37
1 98 2
1 98 5
1 107 1
1 107 2
1 107 2
1 107 1
1 107 37
1 123 7
1 123 3
1 123 37
1 123 1
1 123 1
1 127 4
1 127 7
1 127 1
1 127 1
1 139 2
1 139 12
1 139 4
1 145 1
1 145 1
1 145 6
1 145 1
1 158 37
1 158 2
1 161 5
1 161 1
1 161 1
1 161 5
1 161 1
1 161 1
1 161 5
1 166 15
1 166 18
1 166 378
1 166 2
1 168 1
1 168 410
1 168 3
1 183 1
1 193 8
1 193 2
1 209 1
1 209 8
1 209 2
1 216 1
1 216 239
1 222 2
1 222 1
1 222 8
1 224 4
1 224 29
1 232 1
1 240 1
1 240 1
1 246 3
1 246 3
1 246 1
1 246 3
1 256 5
1 256 1
1 256 1
1 259 3
1 264 3
1 264 37
1 264 1
1 274 1
1 276 4
1 276 7
1 276 5
1 287 1
1 287 1
1 287 1
1 291 12
1 291 4
1 325 1
1 325 1
1 325 4
1 327 1
1 327 1
1 330 3
1 330 2
1 342 1
1 342 8
1 342 2
1 346 8
1 347 1
1 347 1
1 347 1
1 354 1
1 354 1
1 354 1
1 354 1
1 354 1
1 354 1
1 354 5
1 354 12
1 358 2
1 358 1
1 358 37
1 358 1
1 358 1
1 360 1
1 360 5
1 360 2
1 360 2
1 360 1
1 366 1
1 366 3
1 366 4
1 366 1
1 366 239
1 383 1
1 383 1
1 383 1
1 383 1
1 385 5
1 391 1
1 391 4
1 391 3
1 391 1
