d,hx_avg,hx_var
1,3.067313730096333,0.00964947314074907
2,3.2690966580469585,0.012347946733315508
3,3.3562819982617693,0.012699534724486311
4,3.406826632532874,0.013236298705953706
5,3.437293233099425,0.013780558975057648
6,3.452670057321758,0.013683228350824533
7,3.458278304589215,0.014239662473202432
8,3.460986549045424,0.01418174801731695
9,3.4626883140893896,0.014346069865416748
10,3.463395346228997,0.0144275209783779
11,3.4630208667079776,0.014370120924933507
12,3.4634936767556344,0.014500749787211983
13,3.4642830016020705,0.014804249513486092
14,3.4676920564589304,0.014675018432782518
15,3.466707016005386,0.014777223884328535
16,3.4647125706593993,0.015103135279775555
17,3.4667004841016755,0.01466385558285206
18,3.4683485463129107,0.015655940752236596
19,3.4684065360207854,0.01578695605583122
20,3.4685072368103276,0.016040607505820394
