user time word
0 0 3
0 0 17
0 0 8
0 0 1
0 0 19
0 0 1
0 0 3
0 0 2
0 0 1
0 0 4
0 0 4
0 0 27
0 0 1
0 0 401
0 0 1
0 0 1
0 0 1
0 0 395
0 0 1
0 0 2
0 2773 6
0 2773 1
0 3276 105
0 6644 1
0 6644 1
0 6644 1
0 9662 1
0 9662 1
0 9662 104
0 9662 8
0 9662 3
0 9799 8
0 9799 948
0 9799 1
0 10015 2
0 14863 18
0 15764 5
0 15764 8
0 15764 14
0 15764 4
0 15764 2
0 15764 3
0 19191 2
0 19191 5
0 19191 2
0 19191 2
0 19191 1
0 19191 2
0 23788 1
0 23788 674
0 23788 1
0 23788 3
0 23788 1
0 25208 1
0 25208 22
0 25208 145
0 25208 1
0 25648 1
0 25648 7
0 25648 9
0 25648 1
0 28185 1
0 28185 401
0 30483 2
0 30483 1
0 31908 169
0 31908 10
0 31908 105
0 33866 1
0 33866 1
0 35888 1
0 35888 10
0 35888 3
0 36665 18
0 36665 5
0 36665 1
0 36665 6
0 36747 3
0 36747 29
0 36747 1
0 37270 2
0 37270 3
0 37270 2
0 37270 34
0 41948 1
0 41948 10
0 41948 25
0 41948 1
0 42227 22
0 42227 1
0 42227 1
0 48303 2
0 48303 3
0 49958 1
0 49958 3
0 51344 1
0 51416 1
0 51416 145
0 55498 18
0 55498 2
0 55498 1
0 56755 2
0 56755 16
0 57496 3
0 57496 17
0 57496 1
0 57496 1
0 58805 92
0 58805 1
0 58805 2
0 58805 5
0 58805 8
0 62716 3
0 65681 1
0 65681 4
0 65681 1
0 65681 6
0 67049 1
0 67049 1
0 67049 2
0 67049 13
0 67049 5
0 67049 14
0 70536 5
0 70536 4
0 70536 3
0 70536 1
0 70551 167
0 70551 1
0 70551 2
0 70551 1
0 70551 4
0 70551 2
0 74422 5
0 74422 27
0 75805 22
0 75805 245
0 75805 2
0 75805 3
0 77345 1
0 80767 1
0 82757 9
0 83482 1
0 83482 91
0 83644 5
0 83644 6
0 83644 310
0 83644 2
0 88839 1
0 88839 29
0 88839 1
0 88839 221
0 88839 13
0 89474 3
0 89474 1
0 89474 3
0 90613 1
0 90613 395
0 90613 1
0 90613 2
0 90613 1
0 90613 3
0 96359 1
0 96359 2
0 96359 13
0 96359 5
0 96359 14
0 97694 5
0 97694 8
0 97694 1
0 97694 4
0 97694 1
0 98312 50
0 98312 1
0 98312 22
0 98312 145
0 98312 1
0 98312 44
0 99041 1
0 99041 6
0 99041 1
0 99041 3
0 99402 9
0 99402 6
0 99402 1
0 99402 434
0 100769 31
0 101820 17
0 101820 1
0 101820 4
0 101820 426
0 102727 2
0 104290 1
0 106955 24
0 106955 37
0 106955 1
0 113519 4
0 113519 4
0 113519 1
0 113519 33
0 118329 2
0 120000 3
0 120000 2
0 120000 34
0 120000 12
0 120000 4
0 122601 26
0 122601 2
0 126800 44
0 126800 5
0 126800 43
0 126800 1
0 126800 1
0 126984 19
0 126984 4
0 126984 12
0 126984 3
0 126984 2
0 130040 1
0 133812 2
0 133812 28
0 133812 1
0 142838 26
0 142838 19
0 145566 1
0 145566 1
0 145566 1
0 145566 2
0 145566 125
