hx_ordered,hx_shuffled,q
3.377489658544501,3.3773416992595995,0.0
3.3639448440181003,3.3756554017325002,0.1
3.3522111737004994,3.3746672852221,0.2
3.3399941865361003,3.3735331533870996,0.30000000000000004
3.326157203456901,3.3702814289267007,0.4
3.3160862737595003,3.3705033154460002,0.5
3.301888041749355,3.3675457767441936,0.6000000000000001
3.2867890305159144,3.3631734660960215,0.7000000000000001
3.2718945824078496,3.358838127998495,0.8
3.243469715881514,3.3403040022952433,0.9
3.200634148990487,3.3084375059768645,1.0
