hx_avg,q
6.633797631799999,0.0
6.2984225956,0.05263157894736842
6.004527518200002,0.10526315789473684
5.7420502752,0.15789473684210525
5.489349875600001,0.21052631578947367
5.2366802723,0.2631578947368421
5.0250827529,0.3157894736842105
4.814004244100001,0.3684210526315789
4.6639591418999995,0.42105263157894735
4.493685190700001,0.47368421052631576
4.3466698876,0.5263157894736842
4.181727776500001,0.5789473684210527
4.0469812336,0.631578947368421
3.9294686616,0.6842105263157894
3.8118994901999996,0.7368421052631579
3.6857042930999997,0.7894736842105263
3.5854801242,0.8421052631578947
3.4858279875999996,0.894736842105263
3.3923364530000004,0.9473684210526315
3.2977683136000002,1.0
