hx_avg,q
2.7875829031999997,0.0
2.7658308439,0.05263157894736842
2.750452528799999,0.10526315789473684
2.7300802723999995,0.15789473684210525
2.712471108699999,0.21052631578947367
2.6938029682999995,0.2631578947368421
2.676777232600001,0.3157894736842105
2.6605209688,0.3684210526315789
2.6398849895,0.42105263157894735
2.6226161319,0.47368421052631576
2.6076543366,0.5263157894736842
2.5917807538,0.5789473684210527
2.5743888985,0.631578947368421
2.5583884535,0.6842105263157894
2.5414170141,0.7368421052631579
2.5244634221999998,0.7894736842105263
2.5117156542,0.8421052631578947
2.4924768560000006,0.894736842105263
2.4837160758,0.9473684210526315
2.4682678464,1.0
