hx_avg,q
1.4285876437000005,0.0
1.4475368379,0.05263157894736842
1.4669435849999999,0.10526315789473684
1.4823103381000002,0.15789473684210525
1.4928219129000002,0.21052631578947367
1.5158211795,0.2631578947368421
1.5284603331,0.3157894736842105
1.5562412959,0.3684210526315789
1.5718786921999999,0.42105263157894735
1.5947479188999996,0.47368421052631576
1.6098458756,0.5263157894736842
1.6331414859999998,0.5789473684210527
1.6383281824,0.631578947368421
1.6657113559999999,0.6842105263157894
1.6851771103000002,0.7368421052631579
1.7033992862999998,0.7894736842105263
1.721016712,0.8421052631578947
1.7436771219,0.894736842105263
1.7691440285000002,0.9473684210526315
1.7876388097,1.0
