hx_b_avg,hx_b_var,hx_w_avg,hx_w_var,mu
3.36913719872,0.0025968558933795,3.36257024042,0.0025573243800771084,0.0444
3.3711880137199994,0.0026682163095607223,3.36665102284,0.0025771724725940004,0.0570857
3.37074210642,0.0024210147929874582,3.3683045174199995,0.0027629942561360234,0.0705176
3.3682813891200003,0.0023867804806614696,3.36488444366,0.0027353063981128633,0.0847636
3.36728470196,0.002643596797459029,3.36690865018,0.002735154481368796,0.0999
3.37133775218,0.0028137376155484895,3.3674897366599996,0.0023738684618717244,0.116013
3.3651798996199997,0.0027518853133787946,3.36618998526,0.0030000514241735896,0.1332
3.3680075533199996,0.002801915341867136,3.3657788090199996,0.0025297128318751637,0.151572
3.36495412912,0.0027037706673545443,3.36914785974,0.002530603785192941,0.171257
3.3685233554800003,0.0025496559302006744,3.36854347014,0.0026760884017901702,0.1924
3.36738841908,0.002757556074783255,3.36290543022,0.0026251565346403364,0.215169
3.3702923387600006,0.002629868968371788,3.36702405476,0.0026124180089372624,0.23976
3.37162562506,0.0024796693779499165,3.3688721758800004,0.002353449164498619,0.2664
3.3709848121999997,0.0026932841349498597,3.3688350394400004,0.0025272939887957726,0.295357
3.36960649998,0.002978070565007832,3.3704707328400003,0.002428332172507598,0.326945
3.3652022522199996,0.002820833880390032,3.36732927602,0.0028215153627884205,0.361543
3.3683699430800003,0.002403953511340335,3.3708028508,0.0029563727788510658,0.3996
