hx_b_avg,hx_b_var,hx_w_avg,hx_w_var,mu
3.3713717152,0.0021718296473417957,3.3580353248,0.0025334541981728563,0.0444
3.361099162,0.0022549521593007533,3.3671030988,0.003073803901206754,0.0570857
3.378771552,0.00330401534361004,3.3720932923999998,0.002892398349650481,0.0705176
3.3670718672,0.001771490154640414,3.3607806439999997,0.002533451356934911,0.0847636
3.3612447320000003,0.002240425267120714,3.3794404475999995,0.0034188214458077417,0.0999
3.3808583183999996,0.0030968003488517164,3.372538584000001,0.0019605623060543437,0.116013
3.357803458,0.0022269910486116947,3.3663130775999996,0.004313405695659187,0.1332
3.365179996,0.002467860387619679,3.3750090724000006,0.0022114105644928514,0.151572
3.3632269716,0.0014690675043675108,3.377631880399999,0.0016356464421858907,0.171257
3.3557166916,0.0017312690782868589,3.3693028232,0.0023647273530325863,0.1924
3.3712327152,0.0029865512956601214,3.3605561244,0.0016417287167821543,0.215169
3.351936114,0.0009002320961957757,3.3650484356,0.0013563798169908075,0.23976
3.3859911604,0.0028031647901876535,3.373525462800001,0.0017409522542689718,0.2664
3.365302366,0.003863188839491133,3.384514254,0.00282881143949986,0.295357
3.3592565548,0.0029938772189194076,3.3768023100000004,0.002426041252087101,0.326945
3.3594137267999997,0.0020100146460374003,3.3776715252000002,0.0020150582485839712,0.361543
3.3678308208,0.0019576251370675354,3.3687630484000004,0.0023307199901307614,0.3996
