q,hx_avg
0.0,1.0073315236999998
0.05263157894736842,1.0070571252
0.10526315789473684,1.0069093509
0.15789473684210525,1.0070194145000002
0.21052631578947367,1.0068699509
0.2631578947368421,1.0066543693
0.3157894736842105,1.0064214307
0.3684210526315789,1.0061619570999998
0.42105263157894735,1.0058435201
0.47368421052631576,1.0061856509
0.5263157894736842,1.0057827063
0.5789473684210527,1.0054321803000001
0.631578947368421,1.0054936364
0.6842105263157894,1.0054876448999999
0.7368421052631579,1.0048424113
0.7894736842105263,1.0051199618
0.8421052631578947,1.0050297898
0.894736842105263,1.0047790493
0.9473684210526315,1.0046311835
1.0,1.0043799536
