q,hx_avg
0.0,1.0102335162
0.05263157894736842,1.008635263
0.10526315789473684,1.0064145340000001
0.15789473684210525,1.0039400495
0.21052631578947367,1.0032374341
0.2631578947368421,1.0007349973000002
0.3157894736842105,0.9996619998999998
0.3684210526315789,0.9975064695
0.42105263157894735,0.9958377420000001
0.47368421052631576,0.9946323056
0.5263157894736842,0.9921203315000001
0.5789473684210527,0.9906008288000001
0.631578947368421,0.9883216125
0.6842105263157894,0.9867705255999999
0.7368421052631579,0.9848511669000001
0.7894736842105263,0.9831777212
0.8421052631578947,0.9818203805
0.894736842105263,0.9800831949000001
0.9473684210526315,0.9785810522999999
1.0,0.9757285705999998
