C,hx_avg,hx_var,p
0.6,3.0131112202597,0.005469323905381327,0.0
0.4325386251333333,3.0152805809976,0.004181734366682675,0.1
0.30179890933333337,3.0164888267294323,0.0034360266375158327,0.2
0.20865442196666664,3.0171682753179008,0.0029921090308713785,0.30000000000000004
0.13658522983333335,3.0179088012748,0.0027370554489776315,0.4
0.08779600043333334,3.0180816080942674,0.0025703179574624356,0.5
0.0564699309,3.0183610610516003,0.002497864815755081,0.6000000000000001
0.038148585,3.0183890161758673,0.0024615605299087105,0.7000000000000001
0.028102976566666667,3.0186000349852997,0.0024419535627267287,0.8
0.02477285253333333,3.018548527674066,0.002452837652770462,0.9
0.025425808499999997,3.018573426395699,0.002454612336450521,1.0
