C,hx_avg,hx_var,p
0.6,3.2611923181755,0.054857127235112726,0.0
0.4352510131,3.2746920238271002,0.037885820291815614,0.1
0.3024351111333333,3.2825146407355663,0.02706405567069014,0.2
0.20649477236666663,3.2844852784985337,0.02110306848153484,0.30000000000000004
0.13523224279999999,3.294488847715267,0.01783839155441533,0.4
0.08710938486666667,3.2958686498314345,0.01598192788475834,0.5
0.05583380573333334,3.2954648059667337,0.014811145604702005,0.6000000000000001
0.037832824066666666,3.2971557109380325,0.014485940362956971,0.7000000000000001
0.028700599066666672,3.2990944012487002,0.01436626694595343,0.8
0.025613218400000002,3.2935569489981997,0.014106203779375997,0.9
0.024918899933333332,3.2953983180317006,0.014292069073508613,1.0
