d,hx_avg,hx_var
1,3.062216581672733,0.010782453401117702
2,3.2513457454969616,0.014218734028695675
3,3.3592683758759203,0.015770503016180677
4,3.416914867698121,0.017339187396804158
5,3.4523817011187607,0.017493333419418777
6,3.4681480264406415,0.017603180773695992
7,3.4681838028441527,0.01822845948574729
8,3.473641255365073,0.018175041589870936
9,3.4762807948328662,0.01831587766824975
10,3.47600760488244,0.01807656772333925
11,3.4726871278403357,0.018705291768077795
12,3.472191296323313,0.017781727838115095
13,3.4736607414766114,0.017885145982104726
14,3.4715028733729474,0.017799502945438958
15,3.4741799246195186,0.01786654110564397
16,3.4721968288090532,0.018451220238732448
17,3.4750940622985325,0.018163797966147182
18,3.473748050436737,0.017898876854654442
19,3.475702563149231,0.018609268228027828
20,3.468346194583511,0.018844307171235194
