AA,AB,BA,BB,hx_b,hx_w,p
1.6615123014671367,1.649567970183443,1.6109165943057018,1.5974357217875572,1.6302494154974925,1.629575300182588,0.0655977
1.6666668458487646,1.6538772770845203,1.611570208071625,1.597663762744286,1.6327812835866797,1.6321841296110728,0.0824176
1.667839589301289,1.6540344685937276,1.6092779417070977,1.5946245954315927,1.6316877768888176,1.6312975310182762,0.102041
1.6721019368064225,1.6583771641931966,1.609144355396693,1.5934442839576102,1.6337820923660582,1.6327346099461182,0.125232
1.6735146136258103,1.6588250429405031,1.6042093665008446,1.5875884048702398,1.6315730803374924,1.6307676606337411,0.153061
1.6788008442463214,1.663381337873939,1.6022047039833918,1.5839850281684245,1.632819528757994,1.631550804065637,0.187075
1.688656804116225,1.6716309917495886,1.6023299925603651,1.5821257844963759,1.6369485498106613,1.635460891725932,0.229592
1.696996890481819,1.67886321941867,1.598068545865827,1.5750488725538676,1.638411101098295,1.6361887406074225,0.284257
1.7073903064790703,1.6871039256613547,1.590896817955959,1.5639243900239652,1.638952895482688,1.6355779167711937,0.357143
1.7229465959685604,1.701094402898288,1.581738063402274,1.5492801768100253,1.6412428851266199,1.635932229843731,0.459184
1.743266642501346,1.719538469583914,1.5681542165909057,1.5279594841172521,1.6439094451407619,1.6353567658101407,0.612245
