AA,AB,BA,BB,hx_b,hx_w,mu
1.8939476460546498,1.8239512327574376,1.4892983527784558,1.369342025607177,1.6557770054719998,1.6319805834280001,0.05
1.8343647378321417,1.7736267013464628,1.5222608739098544,1.432211963559015,1.6475147899493334,1.6332025581037333,0.1
1.7905353768146728,1.7392017165219245,1.5490729934685696,1.4788469983784793,1.6443502991650665,1.6349654733696002,0.15000000000000002
1.7599104090497737,1.715722828653805,1.5665598077597402,1.5091732169211862,1.6409901663456004,1.6347758343648,0.2
1.738605782335358,1.699760674159646,1.5808259375029339,1.534696387842195,1.6403059922032,1.6367489615981332,0.25
1.720762231536394,1.688215185516521,1.590379645816115,1.552158346203831,1.6390965266914668,1.635794865536,0.3
1.7088148973342994,1.6804997147617278,1.5976669872813036,1.5656378070085335,1.6392909850583999,1.6367796396496002,0.35000000000000003
1.6982381425325468,1.674068350815226,1.602654489612659,1.5745629663577967,1.6383252371909334,1.636628116769333,0.4
1.6918965605171499,1.6701369196439702,1.6073790688744682,1.5839048665048752,1.6390609054856,1.6381426149056002,0.45
1.6873352965284218,1.6671431149081168,1.612177269683037,1.590132473347927,1.6395356030464001,1.6381947332789333,0.5
