AA,AB,BA,BB,hx_b,hx_w,mu
1.976185464349476,1.976900436533762,1.977130121569002,1.975832866728927,1.9770158302954666,1.9760087706298668,0.05
1.975790304665778,1.9761109576492395,1.9768931249399122,1.975325117543223,1.976504940528,1.9755578351543999,0.1
1.978181530549111,1.9775629046620535,1.976567508604306,1.976745057627499,1.9770623398925333,1.9774649795498664,0.15000000000000002
1.976338723017475,1.9772399457138283,1.9764303009456505,1.9762093419263107,1.9768351449202668,1.9762742981344,0.2
1.9765737515800637,1.9767998854675104,1.976733992223578,1.9764411553567596,1.9767667666445334,1.9765078424173335,0.25
1.9772445605604,1.9777383175417131,1.977451039462972,1.9772940851626364,1.9775956667389332,1.9772692462634667,0.3
1.9773341868768768,1.9781401442969833,1.9783218924282209,1.97845081266603,1.9782309602032,1.9778955369936,0.35000000000000003
1.9771135516863683,1.9775582678867172,1.9779669335187826,1.9768026107152779,1.9777645296045334,1.9769583299536002,0.4
1.9765235459833237,1.975162084645113,1.9767342848830909,1.9757486755663864,1.9759510356872,1.9761377431685334,0.45
1.9755838443593852,1.9756960654260303,1.9758087674306717,1.9761051265302645,1.9757516620762665,1.9758447356602666,0.5
