AA,AB,BA,BB,hx_b,hx_w,p
1.9654544039823838,1.9655160736598107,1.965405385444006,1.9650036795394938,1.9654606320037422,1.965228954699477,0.0655977
1.967811611996724,1.9678164972988323,1.9676328448076006,1.9674404908905938,1.9677248269915493,1.9676264979837423,0.0824176
1.9682387029284016,1.9687366838287217,1.9685154485445637,1.9686364995469636,1.968626236230664,1.9684378493603218,0.102041
1.9684771018581966,1.9690294384034277,1.9685691640158596,1.9689299645240947,1.968799123754458,1.9687032840257432,0.125232
1.9672832187064864,1.967285557090909,1.9674845550613527,1.9673809440006937,1.9673850160362976,1.9673319716338435,0.153061
1.9708856974854483,1.9709252954025023,1.971055974947712,1.97074977336258,1.9709906167695377,1.970817621652515,0.187075
1.9716907469192002,1.9714809675661504,1.9719108554780846,1.972004276888264,1.971695759288169,1.9718478147093361,0.229592
1.9746990086412088,1.975035268778085,1.9751682431228614,1.9748148708434095,1.9751016197719276,1.9747567717653818,0.284257
1.9738720848282105,1.9746144045975376,1.974171023341453,1.9734247235492424,1.9743931974959357,1.9736493493181897,0.357143
1.9750430467267257,1.9768677144599607,1.975795795311567,1.9739703306486653,1.9763317160637421,1.9745069994947686,0.459184
1.9757820468901561,1.978917771835365,1.978565341208445,1.9755934307726173,1.9787413678970627,1.9756873927189134,0.612245
