AA,AB,BA,BB,hx_b,hx_w,p
2.56414568280822,2.5897827555519592,2.6652359605980807,2.687016058276936,2.627435944145785,2.625587266197757,0.0655977
2.564419482878434,2.590114250225952,2.672008150249394,2.6939864897493266,2.630938892230831,2.629486762701301,0.0824176
2.561994987333291,2.589212374546816,2.67692526912739,2.7002847540115553,2.633041400571463,2.6311631499117034,0.102041
2.5577662748937504,2.5866960136733774,2.6839149058648566,2.708158845959022,2.6353366321593983,2.6329324216345897,0.125232
2.5549955326003553,2.585961120662565,2.6929223892140843,2.718557588565927,2.6394837677812824,2.636886038993347,0.153061
2.547878552677297,2.5822214370693555,2.7011605958295872,2.728703489266839,2.6416624424773976,2.638485059342463,0.187075
2.5381653887370543,2.576180964637227,2.713099128671972,2.7420075222271216,2.644664192543247,2.6400815534668536,0.229592
2.5284265238824872,2.5716966241567873,2.7305103877635077,2.7618759265767916,2.650994659653227,2.644958477426213,0.284257
2.508172618714147,2.5596437160428556,2.750026895395581,2.782698088475955,2.6550886412524655,2.6451360713193997,0.357143
2.4826846470827495,2.5447673043926575,2.7779227618325715,2.812269071594716,2.6615476146311914,2.647418794415095,0.459184
2.4452626117694356,2.5240510084608965,2.820058346363899,2.8538978487552598,2.672288398637114,2.65001261383976,0.612245
