AA,AB,BA,BB,hx_b,hx_w,mu
3.060266672237402,2.9609109590451306,1.930546873608767,1.5417877393432613,2.4431736133950666,2.2975650738233333,0.05
2.898681472311807,2.7826207545746757,2.014090107871826,1.7273919168093748,2.3972794883178667,2.3143016872805333,0.1
2.778267346423689,2.668504317030018,2.0806398185224397,1.8620740612709064,2.3738744685713336,2.3195843401447998,0.15000000000000002
2.691444140890592,2.590836061229162,2.1301291241333047,1.9593144097638004,2.3600648850582666,2.324861903650534,0.2
2.6265400718556644,2.537832204100226,2.1690892070472114,2.0316731470523637,2.354026111502533,2.3275361607725333,0.25
2.5784242455082014,2.4986204298597676,2.1963094090746584,2.08363173939775,2.346638602677067,2.329761323637333,0.3
2.5426252130346882,2.472382651907714,2.2190584413054166,2.1230989520787205,2.345987381441734,2.3314412869529337,0.35000000000000003
2.5132736114978185,2.451578738129947,2.2329564846649945,2.151791963347055,2.3423346555552,2.3329569258896004,0.4
2.4925040619637646,2.4377904452254455,2.245903426978092,2.175983439822496,2.342026030652133,2.3336824543231995,0.45
2.475828832362583,2.4255651054313985,2.255594036900555,2.1935588047204155,2.341039626191467,2.3352244861934666,0.5
