AA,AB,BA,BB,hx_b,hx_w,mu
2.143393822616968,2.3706033434647624,3.0286590175608854,3.133581534028979,2.7042112480045337,2.640890533836,0.05
2.2643510178859794,2.4336521143656875,2.92577665730062,3.0239300067550268,2.6791632063450668,2.6441202568808,0.1
2.3470763355719737,2.4777556104363616,2.855862923261969,2.942001806978665,2.6670815041144,2.6467442616893337,0.15000000000000002
2.4109574689033124,2.5150058900928247,2.8106256523433752,2.885126949772098,2.6628551871864,2.6484215449224,0.2
2.457484137118933,2.540532524010553,2.776675143659604,2.8416629490565333,2.6585219710602668,2.649573543087733,0.25
2.4895540332941675,2.55942495274537,2.7543966575558283,2.809664323930769,2.6569783953416,2.6491055384218667,0.3
2.5149321233716604,2.573421438134035,2.7376695246628135,2.7858149741856364,2.6552564047661336,2.650113501241867,0.35000000000000003
2.534305332289727,2.585241144139688,2.7262393832490086,2.76802723786184,2.6553943480144,2.6508733536208,0.4
2.5480960443942133,2.592461772310219,2.71514712302905,2.7535774210936994,2.653388953281867,2.650551798568267,0.45
2.560443441311905,2.5990393892121766,2.709398456588822,2.74329425887512,2.6544867275706667,2.6521224032272004,0.5
