AA,AB,BA,BB,hx_b,hx_w,mu
3.13571579668441,3.0297139055126565,2.3699340657622243,2.142856988339657,2.6994017265400005,2.6402660132029334,0.05
3.022743820692832,2.9262759145810504,2.433724419300112,2.263695995851939,2.680617498148,2.6437866639816003,0.1
2.943652272827211,2.856447585495958,2.4801889176954144,2.3490429695107506,2.6676259356469334,2.6464586149055997,0.15000000000000002
2.883232182192522,2.8073820103825224,2.5129558077596497,2.4098373408857263,2.6586850010098666,2.645499604819467,0.2
2.8429737341951347,2.7783713980720623,2.5408030189420785,2.456353478417132,2.6586052592066665,2.6491996619991998,0.25
2.8108599240296273,2.754963451486835,2.5606232506220223,2.4893117802372213,2.657067814304533,2.6496485466578665,0.3
2.785286670671166,2.7364630818635707,2.5736083632779936,2.5140707132260998,2.654588414943733,2.6501704968848,0.35000000000000003
2.7683485634183427,2.726936085911259,2.5850551652136526,2.5350268013333688,2.6556588948439996,2.6516441289802666,0.4
2.7561372670934294,2.717605539452325,2.5949319341865795,2.5508039527959996,2.656275279411733,2.654302894312,0.45
2.7412285323557186,2.707535310800835,2.5975842291013986,2.55938137243565,2.6523926443069334,2.6507995766706673,0.5
