hx,nAB
3.4054858874000007,5
3.3880709835999996,10
3.3822296676000003,15
3.3837182942000004,20
3.3630933927999997,25
3.3761321900000003,30
3.3768010556000014,35
3.3701225500000005,40
3.3428500782,45
3.3503331506000005,50
3.3521770955999997,55
3.3549131418,60
3.3447319323999993,65
3.3427930435999995,70
3.3386791358,75
3.341077258200001,80
3.3312749644000004,85
3.3205885308000007,90
3.3053859492,95
3.3124442210000002,100
