degree,h_avg
0.0,2.6753722759349596
1.0,2.664103523923205
2.0,2.6682538538476073
3.0,2.6707468495556332
4.0,2.6717197390017646
5.0,2.6719334025498376
6.0,2.67255062187558
7.0,2.6739392066498873
8.0,2.673570895185666
9.0,2.6737300312854586
10.0,2.673683119076171
11.0,2.674656336848793
12.0,2.675230747216416
13.0,2.6747901335549353
14.0,2.675144249016897
15.0,2.6750923261512107
16.0,2.6752321283266536
17.0,2.6750346414580224
18.0,2.675283782165314
19.0,2.675114512711524
20.0,2.6755559782037737
21.0,2.675276527120497
22.0,2.6754581871428567
23.0,2.6756038843225807
24.0,2.675013013525088
25.0,2.675319063056253
26.0,2.675794689806824
27.0,2.6756128168922855
28.0,2.6759721718030223
29.0,2.6756083390259904
30.0,2.675509868251621
31.0,2.675831507692308
32.0,2.675523782882883
33.0,2.675463501792596
34.0,2.675673608814969
35.0,2.6759717990355707
36.0,2.675487764505747
37.0,2.676377781566796
38.0,2.675677627934976
39.0,2.6763833169506843
40.0,2.6758646227845837
41.0,2.6753527523855296
42.0,2.6756747552709745
43.0,2.6751330277575915
44.0,2.675974981167048
45.0,2.676154812741384
46.0,2.6763765933462493
47.0,2.676250800008813
48.0,2.6771399113232235
49.0,2.6759383489420014
50.0,2.676334353693595
51.0,2.6778415729785445
52.0,2.6758828749186256
53.0,2.6755680110399997
54.0,2.676700802905318
55.0,2.6763599418971333
56.0,2.6770638351627385
57.0,2.6776194149850743
58.0,2.67481537958498
59.0,2.6740966229577463
60.0,2.673936744678899
61.0,2.6788407960655736
62.0,2.6750614877611945
63.0,2.6732533724999996
64.0,2.674869260487805
65.0,2.6807560675000004
66.0,2.6711583857142855
67.0,2.6429894133333334
68.0,2.66328268
69.0,2.6621840533333336
73.0,2.67238708
