degree,h_avg
0.0,2.6792577486666667
1.0,2.6141180941556534
2.0,2.632038374801444
3.0,2.640898002831889
4.0,2.644854501663629
5.0,2.6483343237526205
6.0,2.650790042983965
7.0,2.651957266511969
8.0,2.6550876922740296
9.0,2.6562001284555383
10.0,2.658303579119817
11.0,2.658027968672295
12.0,2.6589823477964805
13.0,2.660253233638939
14.0,2.6620858074987295
15.0,2.661635229786164
16.0,2.662347836318308
17.0,2.6639650981725107
18.0,2.6640489855504583
19.0,2.6632924370825832
20.0,2.6632267824078255
21.0,2.664172559267198
22.0,2.6647131582139303
23.0,2.664542727815385
24.0,2.6642641872281927
25.0,2.6650028327551523
26.0,2.664919327720387
27.0,2.665219148803504
28.0,2.664609561518954
29.0,2.665670005809118
30.0,2.665363529588323
31.0,2.6648244754967387
32.0,2.664912250148241
33.0,2.664797118904317
34.0,2.665226536538365
35.0,2.6649329597639597
36.0,2.665097697155129
37.0,2.665838408959117
38.0,2.6655294783689705
39.0,2.6662847150903923
40.0,2.665713265972803
41.0,2.666022884379506
42.0,2.6683807473838255
43.0,2.666629442331712
44.0,2.666673276906234
45.0,2.667112124851143
46.0,2.667068677594417
47.0,2.6668983076106194
48.0,2.6672377001407566
49.0,2.6664875749665105
50.0,2.6663748710039443
51.0,2.666119238806387
52.0,2.666372224833713
53.0,2.6686409811006637
54.0,2.667301636086396
55.0,2.6674927404527082
56.0,2.668633225033113
57.0,2.6677836540395483
58.0,2.6664523499999997
59.0,2.668858476582633
60.0,2.665292663346457
61.0,2.6678154164864867
62.0,2.66539164712963
63.0,2.6641824606
64.0,2.656566379354839
65.0,2.6594978849999995
66.0,2.674304060909091
67.0,2.67988937375
68.0,2.624545133333333
69.0,2.6826058866666664
70.0,2.65784394
