ASPL,assortativity,average_degree,density,hx_avg,hx_std,transitivity
2.5912575759999985,-0.15748350805000005,5.820000000000011,0.05878788000000009,3.173881872472938,0.11777143084037536,0.09722380989999996
2.22158585845,-0.11548816994999996,9.5,0.0959596000000002,3.2263051155978415,0.08757720493761248,0.15730188284999994
1.952355555750001,-0.0882690680500001,14.719999999999956,0.14868686999999958,3.260769336825917,0.07304941615887942,0.22532527905000005
1.8280727274,-0.08093155984999999,19.57999999999995,0.19777778,3.2760477053882284,0.07239563447618172,0.28021780325
1.7454868694500008,-0.08195543970000001,25.5,0.25757576000000115,3.2837345231824697,0.07008402566986793,0.3411610312000001
1.7025070685000017,-0.09086760124999994,29.520000000000124,0.2981818200000016,3.2868099709489664,0.06934339013913489,0.3802343704499998
1.6423171694000032,-0.12000557804999998,35.42000000000006,0.3577777800000001,3.2918991984430406,0.07038044182621876,0.43861936604999985
1.5928060580000056,-0.1595152678999999,40.319999999999894,0.4072727300000014,3.296767700029526,0.06942558400684998,0.48757121560000016
1.5466939426999984,-0.21810661319999994,44.88000000000002,0.45333333000000164,3.2906189908387926,0.07077412765199192,0.5365479243999998
1.4949545406000053,-0.40306883010000005,50.0,0.5050505100000003,3.2955116482156486,0.07204058331358222,0.6130064426
