ASPL,assortativity,average_degree,density,hx_avg,hx_std,transitivity
1.53311010095,-0.029584940450000007,5.018800000000001,0.05069494919999999,3.2787003901224394,0.07239718648726108,0.04901585109999998
2.2270616165999995,-0.02098062005000001,10.0418,0.10143232360000003,3.324547211633621,0.05431993081098488,0.10106483119999998
1.9342323232,-0.021276057699999993,15.043299999999995,0.15195252509999999,3.3414242802802905,0.05131672963467239,0.15129001884999996
1.8108787877500003,-0.019774508449999995,20.02489999999999,0.20227171759999998,3.3488194449204998,0.05150150607224081,0.2017825768499998
1.7492343436500002,-0.021155065049999994,24.94440000000001,0.25196363624999996,3.3538070251243566,0.05088511246193,0.2515457495500001
1.6972515153,-0.02075376325,29.977699999999995,0.30280505039999994,3.3558451001564342,0.050533448607688235,0.3027006163
1.6467747476500003,-0.020136814299999996,34.96939999999999,0.35322626245,3.3571503688287625,0.05054525592611762,0.3532002463499999
1.5954757577,-0.020592323600000014,40.0479,0.4045242423000001,3.3602631717033713,0.050543259368919624,0.4044639218000001
1.5454141415999998,-0.020433366099999996,45.00400000000003,0.4545858584,3.363106724513267,0.05115760070682239,0.45445300425000007
1.4954595959999997,-0.022044420000000006,49.949500000000015,0.5045404039999999,3.362359878884794,0.05026395040375751,0.5042337686000006
