ASPL,assortativity,average_degree,density,hx_avg,hx_std,transitivity
2.5912979798,-0.15987733224999992,5.820000000000011,0.05878788000000009,3.3746210341789755,0.060569578548066126,0.0967814677
2.221270706499999,-0.11697847299999996,9.5,0.0959596000000002,3.371975102960176,0.05604975535379207,0.15645737344999994
1.9524767672500003,-0.08872516624999996,14.719999999999956,0.14868686999999958,3.3702236812971247,0.05342339637294682,0.22467207875000014
1.8273666670499993,-0.08346711020000003,19.57999999999995,0.19777778,3.368155312564826,0.05277317168172609,0.28019152189999985
1.7456454555499992,-0.08158427430000005,25.5,0.25757576000000115,3.368876562998375,0.05219575377936063,0.3401913822500001
1.702633331150001,-0.09118797145000002,29.520000000000124,0.2981818200000016,3.368990266563701,0.052078768117088246,0.3806754206000001
1.6423646442500035,-0.11875455585000008,35.42000000000006,0.3577777800000001,3.367485399612075,0.05119762115678175,0.43921321174999994
1.5927535326000057,-0.15846801935,40.319999999999894,0.4072727300000014,3.367213991263875,0.05169562479484332,0.48793752595000006
1.5467151547999984,-0.21804097020000004,44.88000000000002,0.45333333000000164,3.3666739818586495,0.050954960050249076,0.537019454
1.4949494900000053,-0.40270105505000003,50.0,0.5050505100000003,3.367164591699249,0.05108124130604186,0.6127825618999999
