ASPL,assortativity,average_degree,density,hx_avg,hx_std,transitivity
2.5912979798,-0.15987733224999992,5.820000000000011,0.05878788000000009,3.290828477215292,0.0744314465342421,0.0967814677
2.221270706499999,-0.11697847299999996,9.5,0.0959596000000002,3.321208126478894,0.059641805042413475,0.15645737344999994
1.9524767672500003,-0.08872516624999996,14.719999999999956,0.14868686999999958,3.338320719160292,0.05429475578380921,0.22467207875000014
1.8273666670499993,-0.08346711020000003,19.57999999999995,0.19777778,3.3477138091983143,0.05246049041281943,0.28019152189999985
1.7456454555499992,-0.08158427430000005,25.5,0.25757576000000115,3.354169787741452,0.052127661378154715,0.3401913822500001
1.702633331150001,-0.09118797145000002,29.520000000000124,0.2981818200000016,3.3548438553220876,0.05110677070898084,0.3806754206000001
1.6423646442500035,-0.11875455585000008,35.42000000000006,0.3577777800000001,3.358710475184401,0.051144959636819795,0.43921321174999994
1.5927535326000057,-0.15846801935,40.319999999999894,0.4072727300000014,3.359577383073214,0.05091987114610622,0.48793752595000006
1.5467151547999984,-0.21804097020000004,44.88000000000002,0.45333333000000164,3.360921215742079,0.05035724762760949,0.537019454
1.4949494900000053,-0.40270105505000003,50.0,0.5050505100000003,3.3626018488649194,0.05068254778259747,0.6127825618999999
