ASPL,assortativity,average_degree,density,hx1,hx2,hx3,hx4,hx5,transitivity
3.0013326244736835,-0.016796821666666673,5.067894736842108,0.05119085587719298,3.278299613042192,3.375318203499197,3.3861024821565007,3.3905785022660857,3.3971021348552006,0.051884785175438604
2.2316476594623658,-0.024277405000000005,9.984946236559145,0.1008580425806452,3.3264562437330687,3.3779274075448282,3.3819735813507594,3.38683933846062,,0.10030817865591404
1.9360982803783786,-0.019037418324324325,14.97967567567569,0.15130985545945946,3.3414606160873204,3.3757487849710586,3.3785448316750486,,,0.15087116691891894
1.8122336880540526,-0.020904636108108107,19.958486486486493,0.2016008734594594,3.3486369670579506,3.374946143074854,3.376512346635767,,,0.20134273951351342
1.7488833386813185,-0.02132885483516483,24.983296703296723,0.2523565328021977,3.352949158668099,3.373543013364224,3.375047316556701,,,0.2521669669230767
1.696944849304813,-0.021194606470588236,30.0075935828877,0.3031070061497325,3.355385142195329,3.3729001979788302,3.3778156084999997,,,0.30306657844919777
1.6458498021739134,-0.020959027173913035,35.061086956521756,0.35415239369565227,3.3589662891592265,3.3735373399516475,,,,0.35375204679347816
1.5960408433695654,-0.019560376847826088,39.99195652173914,0.40395915663043447,3.3620563593642587,3.374979109909286,,,,0.4041017392934781
1.5451296028571433,-0.01849893322751323,45.03216931216931,0.454870397142857,3.3613333274567987,3.3729995216393704,,,,0.45465942640211626
1.4950114044623646,-0.01965709559139785,49.99387096774192,0.5049885955376341,3.3626450355925135,3.3731815982699445,,,,0.5047873567204301
