hx_b,hx_w,mu
3.333672187964,3.333441726157334,0.001
3.3369248553976,3.3368860206860007,0.002
3.3398574476981335,3.339992913624533,0.003
3.342950191375467,3.3424066016237335,0.004
3.3449911774389336,3.3453246517038666,0.005
3.3472035302272,3.3469018811712004,0.006
3.3488669959248,3.3490721374863996,0.007
3.3508097331197333,3.3505268622571998,0.008
3.3519880546117338,3.3517167279833333,0.009000000000000001
3.352957700547067,3.3531138783582666,0.01
