hx_b,hx_w,modularity,mu,p
3.36969267896,3.36758126728,-0.002381,0.1,0.1
3.3746315919999996,3.36650801712,-4.5e-05,0.1,0.1
3.3667706506000004,3.3751893327199998,0.000531,0.1,0.1
3.3779178051599996,3.37949645236,-0.006062,0.1,0.1
3.3740681348400003,3.37656982452,-0.001702,0.1,0.1
3.37276176816,3.36488093436,-0.000758,0.1,0.1
3.3710681756000005,3.3777104321199998,0.0017929999999999999,0.1,0.1
3.37539123492,3.38251771224,-0.004802000000000001,0.1,0.1
3.3656693151600003,3.3688510821200004,0.000383,0.1,0.1
3.3734433349199997,3.37653908544,-0.0008029999999999999,0.1,0.1
3.3705883493199997,3.3677693955200003,0.000857,0.1,0.1
3.3782213698799994,3.3689403767199995,-0.002215,0.1,0.1
3.3702929956,3.3767591851999996,0.0037270000000000003,0.1,0.1
3.3772909436399994,3.3754085466799997,0.002938,0.1,0.1
3.3655274332400005,3.3740988137200003,-0.00243,0.1,0.1
3.35972186132,3.36077802552,0.000791,0.1,0.1
3.37352736112,3.36603257872,-0.001498,0.1,0.1
3.3686727769999996,3.37089246736,-0.0023239999999999997,0.1,0.1
3.3721126274,3.3724940108,-0.000489,0.1,0.1
3.3729934298399997,3.37620686,0.002223,0.1,0.1
3.37056752348,3.3680642008,-0.00037400000000000004,0.1,0.1
3.366189759,3.3751291982000002,-0.003435,0.1,0.1
3.37775639188,3.37428239712,-0.002381,0.1,0.1
3.36774407652,3.3692043551200004,0.002853,0.1,0.1
3.3766549444400002,3.36768794708,0.000817,0.1,0.1
3.36522154644,3.3636984887600003,-0.0010960000000000002,0.1,0.1
3.37480232924,3.37489428616,-0.003041,0.1,0.1
3.37610332236,3.3744970528800002,-0.001188,0.1,0.1
3.38116519252,3.38158204312,-0.0034159999999999998,0.1,0.1
3.3722491246399997,3.3753277597599998,0.000973,0.1,0.1
3.3671819565200005,3.37262409408,-0.001973,0.1,0.1
3.37111985388,3.3690411811599996,0.003214,0.1,0.1
3.3711994844,3.36950675676,-0.000251,0.1,0.1
3.36982913052,3.37324242568,-0.003527,0.1,0.1
3.36971830944,3.3701970704,0.001794,0.1,0.1
3.37445989816,3.37092559208,-0.001155,0.1,0.1
3.37453179588,3.37338799948,-0.000543,0.1,0.1
3.3737142483200007,3.37828680872,-0.00498,0.1,0.1
3.3802760689599998,3.3822724635599997,-0.0032090000000000005,0.1,0.1
3.3772429438000002,3.3745193339200004,0.003518,0.1,0.1
3.3687093424799994,3.3767850314000003,-0.000851,0.1,0.1
3.36695173168,3.3758988040799993,0.000549,0.1,0.1
3.36957960096,3.3665984599999996,-0.000533,0.1,0.1
3.3620303076,3.36947599056,-0.001025,0.1,0.1
3.3697943034799995,3.3684876659600005,-0.00021,0.1,0.1
3.3739021702,3.3785411547599997,0.0017829999999999999,0.1,0.1
3.36310544908,3.36323219968,0.0020039999999999997,0.1,0.1
3.37108014628,3.3747974667999996,0.000346,0.1,0.1
3.37324999508,3.3721826332,-0.00017900000000000001,0.1,0.1
3.37174704972,3.3678708998399998,0.000965,0.1,0.1
3.3736804135599994,3.3763013530399997,0.001423,0.1,0.1
3.37387815044,3.37107329936,0.001837,0.1,0.1
3.37473289136,3.3724311216799996,-0.00214,0.1,0.1
3.37184313844,3.36970723572,-0.001525,0.1,0.1
3.3748434554,3.36707114832,-0.003172,0.1,0.1
3.37109353272,3.37414184284,-0.000822,0.1,0.1
3.37645981764,3.36653266404,0.001422,0.1,0.1
3.37404051412,3.38020132668,-0.000102,0.1,0.1
3.3702743122400003,3.37703951744,0.00045700000000000005,0.1,0.1
3.36529749324,3.3716901446799996,-0.002666,0.1,0.1
3.3726747805599997,3.37964752748,-0.002797,0.1,0.1
3.37369160736,3.37628895852,-0.002366,0.1,0.1
3.3770546535599997,3.3770825206400006,-4e-05,0.1,0.1
3.3731901773999997,3.36917998488,-0.001415,0.1,0.1
3.3800810476,3.3784956946400007,-0.000359,0.1,0.1
3.3793548064000003,3.37512897884,-0.00025299999999999997,0.1,0.1
3.3775307211200003,3.3729275628,-0.000303,0.1,0.1
3.3824234471600003,3.37918343716,-0.001675,0.1,0.1
3.37171985556,3.37053597816,0.000839,0.1,0.1
3.36271110308,3.36418884172,-0.0014529999999999999,0.1,0.1
3.37577359472,3.3732860572400005,0.00091,0.1,0.1
3.36761216608,3.3787226965199997,0.000982,0.1,0.1
3.3754276458800003,3.37854340312,0.0014609999999999998,0.1,0.1
3.369145127,3.3722795719200005,-0.0042829999999999995,0.1,0.1
3.37586111264,3.3683192174400003,-0.003406,0.1,0.1
3.37347669672,3.37564291756,-0.0007559999999999999,0.1,0.1
3.3599827432000002,3.3623586256799998,-0.0024289999999999997,0.1,0.1
3.3792077904799998,3.3835775765199996,-0.00010800000000000001,0.1,0.1
3.37339844056,3.3735415768399997,-0.0018690000000000002,0.1,0.1
3.3632743072399998,3.3617222209599995,3.3e-05,0.1,0.1
3.36893103688,3.3662506210800003,-0.000379,0.1,0.1
3.3764034984,3.37674055824,0.000874,0.1,0.1
3.3720238758799996,3.36845023488,-0.004168,0.1,0.1
3.3772048524,3.38325023564,0.00015800000000000002,0.1,0.1
3.3673230527199998,3.3689344288800003,-0.002686,0.1,0.1
3.37607960516,3.3739784658,-0.000487,0.1,0.1
3.3771165498399998,3.3794243489199998,-0.0036479999999999998,0.1,0.1
3.3682644402,3.3741211717199997,-0.002805,0.1,0.1
3.37509134684,3.37304458592,-0.001912,0.1,0.1
3.35842987388,3.36837405804,0.001391,0.1,0.1
3.3732125391600003,3.3674268773200002,0.0016760000000000002,0.1,0.1
3.3802377997999997,3.3807770789200005,-0.001626,0.1,0.1
3.3749735738400006,3.3715480092799996,-0.00207,0.1,0.1
3.378986944,3.36616791424,-0.000213,0.1,0.1
3.3713277835599995,3.3694744537199997,-0.00133,0.1,0.1
3.3802987731600003,3.37808988568,0.001018,0.1,0.1
3.3664599098,3.37017767792,0.000509,0.1,0.1
3.37310189,3.36956170032,0.000254,0.1,0.1
3.370802733,3.36352043512,0.001766,0.1,0.1
3.3704010898799996,3.37216720592,-0.002418,0.1,0.1
3.374048487,3.36063548156,0.00036899999999999997,0.1,0.1
3.37325944032,3.37051931352,-0.002224,0.1,0.1
3.37736020324,3.3797328881599995,-0.0035979999999999996,0.1,0.1
3.3751358802800002,3.37397757912,-0.000288,0.1,0.1
3.36841701484,3.3763255028800003,-0.001396,0.1,0.1
3.36237416056,3.36905564624,4.8e-05,0.1,0.1
3.3713971908800002,3.3706516453199997,-0.003159,0.1,0.1
3.3741342609599996,3.37675167092,-0.002194,0.1,0.1
3.3646139484799997,3.3697958646000004,-0.001005,0.1,0.1
3.3766841551199995,3.3679535332,-0.000539,0.1,0.1
3.3721543615600003,3.3798281666400003,-0.002785,0.1,0.1
3.38059774164,3.37695782716,0.000165,0.1,0.1
3.3644667227600005,3.36746407704,-0.001745,0.1,0.1
3.3786267784,3.37389471248,-0.0015140000000000002,0.1,0.1
3.37258266888,3.36620749092,0.0012720000000000001,0.1,0.1
3.36781031808,3.3728058466,-0.000509,0.1,0.1
3.3806681711599995,3.3818123146400003,-0.000301,0.1,0.1
3.3752864358,3.3736784227200003,-0.000312,0.1,0.1
3.37332735348,3.37168479084,-0.001775,0.1,0.1
3.3716285604,3.3788562028000007,-0.004146,0.1,0.1
3.3702017378,3.36946786428,0.003708,0.1,0.1
3.3719662356,3.36845955292,-4e-05,0.1,0.1
3.3696851010400004,3.3689287244800004,-0.002621,0.1,0.1
3.3793531694400003,3.3746137980000004,-0.003544,0.1,0.1
3.3725698026,3.37435308116,0.000246,0.1,0.1
3.37305661432,3.37258111568,-0.001218,0.1,0.1
3.3651345484800004,3.37202132712,-0.000586,0.1,0.1
3.37835510448,3.36926588888,-0.000909,0.1,0.1
3.3719017322,3.37501965332,0.002523,0.1,0.1
3.36186231276,3.36878453416,-0.004338,0.1,0.1
3.37661820572,3.3750256271199994,-4.1e-05,0.1,0.1
3.3658715106399995,3.36507369872,-0.0018780000000000001,0.1,0.1
3.3727040481999997,3.367919076,0.0026100000000000003,0.1,0.1
3.36408906424,3.3705488086,-0.0008550000000000001,0.1,0.1
3.3683982038799996,3.37349346536,0.001768,0.1,0.1
3.3689529259600004,3.37324587084,-0.00367,0.1,0.1
3.3708604089600005,3.37127109064,0.002493,0.1,0.1
3.3762897948,3.3762196652800003,4.8e-05,0.1,0.1
3.37371133528,3.37138673268,-0.001962,0.1,0.1
3.37962722416,3.37728659724,-0.000958,0.1,0.1
3.36801893808,3.3755345328,0.001485,0.1,0.1
3.37478668552,3.369984291,-0.0025329999999999997,0.1,0.1
3.3710863346,3.37545364432,0.00062,0.1,0.1
3.38244973588,3.3772322883999997,-0.000627,0.1,0.1
3.3645079559199997,3.3629586923999994,-0.0017109999999999998,0.1,0.1
3.37921729504,3.3706729289200004,-0.004285,0.1,0.1
3.36852165604,3.3686539878800006,-0.001391,0.1,0.1
3.3646771906800006,3.3644481142,0.000802,0.1,0.1
3.3703593285199998,3.37284142212,-0.0030039999999999997,0.1,0.1
3.37186510196,3.36914340396,-0.00145,0.1,0.1
3.36834505204,3.37299639308,0.000275,0.1,0.1
3.3667005889600006,3.3724459142799996,0.002838,0.1,0.1
3.37249111688,3.3683265188,-0.000831,0.1,0.1
3.37316340788,3.37769455572,0.003195,0.1,0.1
3.3714091998800004,3.36978505872,-8.499999999999999e-05,0.1,0.1
3.3680193492,3.3738211703999994,-0.001645,0.1,0.1
3.37761351936,3.3800275315999997,-0.001491,0.1,0.1
3.36284916028,3.3695140202,0.002163,0.1,0.1
3.3713806970799998,3.37108042252,-0.002735,0.1,0.1
3.3774509035199998,3.37502559072,6.500000000000001e-05,0.1,0.1
3.3725218530800003,3.3738460720800005,-0.004339,0.1,0.1
3.3713481514799994,3.3768219181999997,-0.001157,0.1,0.1
3.37620544496,3.3748470098,-0.000654,0.1,0.1
3.36807102424,3.36482283904,8e-06,0.1,0.1
3.3764175276,3.3782687214400005,0.000701,0.1,0.1
3.3734553112000003,3.3757498089199998,0.002314,0.1,0.1
3.370321347,3.37017984152,-0.0005009999999999999,0.1,0.1
3.37237084,3.37601491644,0.000807,0.1,0.1
3.3733625354799996,3.37607013836,-0.002373,0.1,0.1
3.37268917116,3.35935905532,0.0012289999999999998,0.1,0.1
3.3776533153200003,3.3780283145200003,-0.000779,0.1,0.1
3.37334820972,3.378291477,0.000919,0.1,0.1
3.3717262628399998,3.37839000056,0.004604,0.1,0.1
3.3786220292799998,3.37493557036,-0.004453,0.1,0.1
3.37466914396,3.37323143704,-0.0046240000000000005,0.1,0.1
3.3626128594800004,3.3664056822800004,0.0031609999999999997,0.1,0.1
3.37065355464,3.36935533364,-0.001551,0.1,0.1
3.3727133878800006,3.36954769064,-0.003782,0.1,0.1
3.3778989038800002,3.3755042438,-0.002815,0.1,0.1
3.3681692610400003,3.3691395521999996,-0.000951,0.1,0.1
3.36851564256,3.3707350195999997,0.000109,0.1,0.1
3.37916408116,3.3757635148,-0.004281,0.1,0.1
3.3649919915199997,3.3693119205599995,0.0036490000000000003,0.1,0.1
3.37607207692,3.3800803736400002,-0.004113,0.1,0.1
3.37385106816,3.37901225292,0.0008289999999999999,0.1,0.1
3.3735797458,3.3655591142800003,-0.000391,0.1,0.1
3.37111247468,3.36990933956,-0.000123,0.1,0.1
3.36973297,3.37104623484,-0.005938000000000001,0.1,0.1
3.36995002872,3.37480829772,-0.000589,0.1,0.1
3.3713589944,3.37433990316,0.00206,0.1,0.1
3.3703245789599996,3.371860988,0.0007509999999999999,0.1,0.1
3.37010999624,3.36411903456,-0.000651,0.1,0.1
3.3764735442,3.3741313016000003,-0.002409,0.1,0.1
3.37675060168,3.3788303214399997,-0.004062,0.1,0.1
3.37275548224,3.37536042168,-0.0024809999999999997,0.1,0.1
3.3814142875999997,3.3795482262400003,-0.000484,0.1,0.1
3.37610463136,3.37232521236,-0.00011999999999999999,0.1,0.1
3.3717704832399997,3.3717252314399997,0.006227,0.1,0.1
3.36724749944,3.369373551,-0.001376,0.1,0.1
3.3833429844799996,3.38210708092,0.0030670000000000003,0.1,0.1
3.3723815459199997,3.3774147702,-0.166416,0.2,0.1
3.36696642496,3.37358710732,-0.166208,0.2,0.1
3.38405435464,3.38182413844,-0.16800199999999998,0.2,0.1
3.3759717240800002,3.37700460904,-0.169571,0.2,0.1
3.3685071682,3.37121966168,-0.16875,0.2,0.1
3.37240151972,3.3780395451599996,-0.163412,0.2,0.1
3.37713636144,3.37502611528,-0.16726300000000002,0.2,0.1
3.3630342338,3.3669024224799995,-0.16558399999999998,0.2,0.1
3.3831630526,3.38061727648,-0.166241,0.2,0.1
3.3828500616,3.3735630712,-0.165765,0.2,0.1
