mu=0.1,mu=0.3,mu=0.5,mu=0.6
3.3733380226387997,3.3746594957835994,3.3750370712016005,3.3756428460040007
3.3743032280684,3.3753664137294,3.3755009941432004,3.3759921822414
3.3743718043691997,3.375461760898,3.3756882277943996,3.3759663189352
3.3752482066042004,3.3757863673968003,3.376319529476999,3.3761664954442003
3.3754804669074003,3.3752352119442,3.3758403680834004,3.375705251709
3.3759515531328,3.3761176482718,3.3758126958364003,3.3759539237597997
3.3759254482288,3.3756984187224,3.3759899935937367,3.3765731302214737
