ASPL,assortativity,average_degree,density,hx,network,transitivity
4.240033361134257,0.10773172484211264,3.5090909090909017,0.032193494578816054,3.388222674740842,CKM physicians,0.16228748068006274
3.3569539925965204,-0.04359402821531301,5.1290322580645356,0.08408249603384393,3.3745057740595183,Dolphins,0.30877573131094194
3.60603201731539,0.07829876925480471,9.62400706090019,0.008501773021996608,3.3865680906647295,Email Spain,0.1662500648239402
1.2602495543671945,-0.15095683882084163,24.411764705882423,0.7397504456328039,3.3499394608411404,Freeman's EIES,0.8203465298615812
1.6397306397306295,-0.0671037253211823,22.327272727272565,0.4134680134680174,3.3654997895716505,Golden Age,0.5299394311124699
2.0431848852901737,-0.18269136963096355,8.102564102564061,0.21322537112010653,3.359673859236679,Kapferer tailor,0.38505747126436773
2.641148325358856,-0.1652251344223703,6.59740259740252,0.08680792891319294,3.374900431190352,Les Miserables,0.4989316239316182
1.8623481781376379,-0.08199971825846784,11.230769230769258,0.2955465587044542,3.357400245426884,Hollywood music,0.5590601866752524
1.8400000000000079,-0.10921042211135105,7.519999999999984,0.31333333333333263,3.3464790093892347,Sampson's monastery,0.45084269662921683
2.9455314648334303,-0.0804756617857572,4.9032258064516565,0.08038075092543569,3.375814523268783,Terrorist,0.36088154269972755
