hx_avg,hx_sd,network
3.2911143836072574,0.11279201280081039,Arxiv_ca-GrQc
3.316449069911633,0.07604601379194888,adolescent_health
3.32478572334276,0.08940646264597146,email_network
3.2652446069578946,0.11218401733035205,terrorists
3.274894320785849,0.10383963249151666,dolphins
3.290828076525984,0.10692806620302124,lesmis
3.3065414608541137,0.08181009215330123,kapfdata
3.317656007309817,0.06986893613850129,movies
3.290217281300532,0.07136533178910569,Sampson
3.3207784865434635,0.14638157325572798,GoldenAge
3.3288178943403297,0.057460188196639256,NFL2009_network
3.343596679046747,0.054139757504449215,Freemans_EIES
