ASPL,assortativity,average_clustering,average_degree,density,hx,network,transitivity
3.4641618015012523,0.05870665085910391,0.11725536365990917,4.381818181818201,0.04020016680567148,3.3835258834415005,CKM physicians,0.1203978734150802
2.543442622950822,-0.02874128155156325,0.23076608999616577,6.387096774193592,0.10470650449497669,3.3715682244264,Dolphins,0.2496714734854785
3.219960012142421,0.13038972268120338,0.1280429496719654,12.030008826125263,0.010627216277495858,3.3829386118225333,Email Spain,0.13233408616492773
1.0766488413547164,-0.07755890854716678,0.929350015957307,30.470588235293896,0.9233511586452827,3.351372257945305,Freeman's EIES,0.9284149674458555
1.5175443322110027,-0.023870764643334832,0.5692805113081295,27.890909090909172,0.5164983164983148,3.3634911476876,Golden Age,0.5604127997075085
1.825155195681511,-0.11938125357867001,0.411800911043988,10.10256410256409,0.26585695006747445,3.358875761036707,Kapferer tailor,0.38066936087731806
2.360763271815905,-0.08602082760645496,0.4356728598810962,8.2337662337663,0.1083390293916613,3.3713235908965,Les Miserables,0.41500207492624086
1.656702654071077,-0.028059903068630133,0.5445807678261229,14.0,0.36842105263157826,3.354585137361719,Hollywood music,0.5321840034147053
1.6390111111111085,-0.09950895834482473,0.4840325746584574,9.360000000000003,0.3900000000000005,3.3405890509975005,Sampson's monastery,0.4582868468625658
2.5472325048475244,-0.04054254325289648,0.35594385483402824,6.129032258064563,0.10047593865679592,3.370554404558984,Terrorist,0.3028234645785418
