ASPL,assortativity,average_clustering,average_degree,density,hx,network,transitivity
3.7350097303308294,0.050634801290810154,0.33693211241620313,4.381818181818201,0.04020016680567148,3.3850912848058505,CKM physicians,0.2519041939728241
2.9158364181209233,-0.06077685708517308,0.424000946430775,6.387096774193592,0.10470650449497669,3.3722578601093507,Dolphins,0.35645056956763765
3.3078661464554613,0.03929288933611143,0.3646985161998277,12.030008826125263,0.010627216277495858,3.3846341153972834,Email Spain,0.1712149250094672
1.0766488413547164,-0.09771495475578527,0.9351225419171154,30.470588235293896,0.9233511586452827,3.348134877206954,Freeman's EIES,0.9332398209101348
1.5225521885521882,-0.07550055813063551,0.6489051559407327,27.890909090909172,0.5164983164983148,3.3640981985407996,Golden Age,0.6069509286093576
1.8756995051731897,-0.18971579242462544,0.5543253342123542,10.10256410256409,0.26585695006747445,3.358113433090303,Kapferer tailor,0.4485384487350803
2.402886762360447,-0.16186593087474818,0.664959384966162,8.2337662337663,0.1083390293916613,3.3724264248928155,Les Miserables,0.4649733130102602
1.6805668016194333,-0.10470465153489047,0.6916661355016832,14.0,0.36842105263157826,3.3562889091687573,Hollywood music,0.5902356836886243
1.675177777777779,-0.11685126958050188,0.6028567863646499,9.360000000000003,0.3900000000000005,3.3442353144139996,Sampson's monastery,0.5255470176012836
2.7087696104353967,-0.0954682607168968,0.5676703733856078,6.129032258064563,0.10047593865679592,3.3737986881945186,Terrorist,0.3873435487913545
