ASPL,assortativity,average_degree,density,hx,network,transitivity
3.8550619961078656,0.301650583719979,4.381818181818201,0.04020016680567148,3.386679788879932,CKM physicians,0.3729269835071649
3.0718138551031196,0.13825946140137066,6.387096774193592,0.10470650449497669,3.3738245507207334,Dolphins,0.46260656869896233
3.462660728524394,0.2926270585007446,12.030008826125263,0.010627216277495858,3.386155565804469,Email Spain,0.34366101618436334
1.0766488413547164,-0.11164448538432444,30.470588235293896,0.9233511586452827,3.3515994495418013,Freeman's EIES,0.955679331519825
1.5279169472502807,-0.04015732999826063,27.890909090909172,0.5164983164983148,3.3644029662342,Golden Age,0.6750420927318802
1.9166936572199726,-0.14330371987056323,10.10256410256409,0.26585695006747445,3.3580124541382843,Kapferer tailor,0.5190215138038071
2.4725085440874923,-0.13264331171570376,8.2337662337663,0.1083390293916613,3.374392483042298,Les Miserables,0.5548393050476244
1.73067926225821,-0.06653857320787322,14.0,0.36842105263157826,3.3564506350718637,Hollywood music,0.6664478797727591
1.6915333333333327,-0.07665658723259576,9.360000000000003,0.3900000000000005,3.3450402843843325,Sampson's monastery,0.5842052973978972
2.7718755508549275,-0.032670803969375196,6.129032258064563,0.10047593865679592,3.3735489654208153,Terrorist,0.47723010504319757
