ASPL,assortativity,average_degree,density,network,transitivity,1,2,3,4,5,6,7,8,9,10
4.240033361134278,0.10773172484211317,3.5090909090909093,0.03219349457881568,CKM physicians,0.16228748068006182,0.2960849188906179,0.33399473883051506,0.4165783272974498,0.3345787771318802,0.3330323940133196,0.33073563953718443,0.34168294222149026,0.33230840044141957,0.331239190653212,0.30011978212625023
3.3569539925965097,-0.04359402821531252,5.129032258064516,0.08408249603384453,Dolphins,0.3087757313109426,0.296765670189629,0.3345981381368444,0.3533766686935357,0.3368374934020232,0.33854542426627965,0.3375224931715051,0.32230743572250786,0.3369871031902108,0.3385279775530863,0.3412487790181904
3.606032017315423,0.0782987692548041,9.624007060900265,0.0085017730219967,Email Spain,0.16625006482393817,0.35357920676273014,0.3302653025323753,0.3439589722359048,,0.3610943600510978,0.3383785331205729,0.3437289792027978,0.33865202163489355,0.3380480613809086,0.3380948694798045
1.2602495543672014,-0.15095683882084168,24.41176470588235,0.7397504456327986,Freeman's EIES,0.8203465298615816,0.34077391087352527,0.335028286125913,0.33396628855488275,,,0.33957348518932123,0.3589349732292162,0.3413865239898991,0.3607736763030514,0.34959390494330933
1.6397306397306397,-0.06710372532118264,22.327272727272728,0.4134680134680135,Golden Age,0.5299394311124741,0.3336221048777998,0.3613988459842423,0.31190936445571715,,,,0.3103535876352235,0.3605036621419905,,0.2956825885897143
2.0431848852901484,-0.18269136963096438,8.102564102564102,0.21322537112010798,Kapferer tailor,0.3850574712643678,0.3585770188898473,0.3492166526518051,0.4213006620415234,,,,,,,
2.6411483253588517,-0.16522513442236916,6.597402597402597,0.08680792891319207,Les Miserables,0.49893162393162394,0.30619679906311864,0.26940713564607105,0.3079255487805747,,,,,,,
1.8623481781376519,-0.08199971825846754,11.23076923076923,0.29554655870445345,Hollywood music,0.5590601866752495,0.46754152084730005,0.27061198866928937,,,,,,,,
1.84,-0.10921042211135026,7.52,0.31333333333333335,Sampson's monastery,0.4508426966292135,0.4693801133501116,,,,,,,,,
2.9455314648334214,-0.08047566178575724,4.903225806451613,0.08038075092543628,Terrorist,0.3608815426997245,,,,,,,,,,
