hx_all,hx_b,hx_w,mu
3.377827013565213,3.377736013994068,3.377918317482817,0.05
3.376062178128548,3.376120739865977,3.3760034205325167,0.1
3.376325070578341,3.376514936648385,3.3761345695048144,0.15000000000000002
3.3769382281046125,3.376910436754016,3.3769661124030033,0.2
3.377229609395392,3.377135555227798,3.3773239781254927,0.25
3.3764675153338355,3.376244223715811,3.3766915537466526,0.3
3.3772629896998447,3.377377002826704,3.3771485952581903,0.35000000000000003
3.3770032810038706,3.3769597368616555,3.3770469707788173,0.4
3.3780997832162676,3.378173430061361,3.3780258900605364,0.45
3.377517701394774,3.3774565546306254,3.377579052663097,0.5
