hx_all,hx_b,hx_w,mu
3.377307743451253,3.377264667807173,3.377350963160973,0.05
3.3774364211099117,3.377486781607137,3.3773858921827777,0.1
3.3769780136873484,3.3769967959181844,3.3769591686396208,0.15000000000000002
3.3775851474040577,3.377786936587009,3.3773826833408007,0.2
3.378416633957769,3.378484958854127,3.378348080549974,0.25
3.3777829195390776,3.377826861461138,3.3777388306543323,0.3
3.376829363193219,3.3768386382598354,3.3768200571063103,0.35000000000000003
3.377395207004667,3.3775430047815913,3.3772469149209177,0.4
3.3777077610990807,3.3777127840058556,3.3777027213933772,0.45
3.3776282830839155,3.377741190525144,3.3775149980258776,0.5
