hx_all,hx_b,hx_w,mu
3.3777156764885117,3.3778373975982183,3.3775935482846515,0.05
3.3769768435805885,3.377130417319628,3.3768227562168907,0.1
3.3776353397913863,3.377651893983464,3.377618730234588,0.15000000000000002
3.3766805567072646,3.3767324708910866,3.3766284688974535,0.2
3.377917624343277,3.3780421135027296,3.377792718832195,0.25
3.377188468125892,3.3771732422556555,3.3772037449187104,0.3
3.3776405328247217,3.377755832601052,3.3775248474305934,0.35000000000000003
3.3775656224350263,3.3776702460585604,3.377460648899709,0.4
3.3769199821405604,3.376904768193209,3.376935246970799,0.45
3.3765510768015274,3.3766736298655053,3.376428113861117,0.5
