hx_all,hx_all2,hx_b,hx_b2,hx_w,hx_w2,mu,n_all,n_b,n_w
3.377827013565213,11.412225198070807,3.377736013994068,11.411599283025698,3.377918317482817,11.412853206477621,0.05,176705.0,88500.0,88205.0
3.376062178128548,11.400276444781008,3.376120739865977,11.40068471780472,3.3760034205325167,11.39986680629597,0.1,176705.0,88500.0,88205.0
3.376325070578341,11.402046554267114,3.376514936648385,11.403341528615218,3.3761345695048144,11.40074724890126,0.15000000000000002,176705.0,88500.0,88205.0
3.3769382281046125,11.406173442954652,3.376910436754016,11.405991659131947,3.3769661124030033,11.406355834749958,0.2,176705.0,88500.0,88205.0
3.377229609395392,11.40813419154632,3.377135555227798,11.407503411474764,3.3773239781254927,11.408767081250431,0.25,176705.0,88500.0,88205.0
3.3764675153338355,11.4029947076317,3.376244223715811,11.401473247459228,3.3766915537466526,11.404521256300276,0.3,176705.0,88500.0,88205.0
3.3772629896998447,11.408395757210823,3.377377002826704,11.409165329411689,3.3771485952581903,11.407623611190099,0.35000000000000003,176705.0,88500.0,88205.0
3.3770032810038706,11.406654440286117,3.3769597368616555,11.406366208733807,3.3770469707788173,11.40694363582314,0.4,176705.0,88500.0,88205.0
3.3780997832162676,11.414053500199136,3.378173430061361,11.414556654490422,3.3780258900605364,11.413548663117183,0.45,176705.0,88500.0,88205.0
3.377517701394774,11.410102792488992,3.3774565546306254,11.409696403443544,3.377579052663097,11.410510540695629,0.5,176705.0,88500.0,88205.0
