hx_all,hx_b,hx_w,mu
3.294805401109002,3.3550733521340184,3.2463843910751224,0.05
3.288309405888379,3.3282070161719974,3.2604966146991705,0.1
3.2844121291916237,3.3138515400723865,3.2671374146922507,0.15000000000000002
3.285603668254206,3.3073845919812115,3.2760963811873642,0.2
3.2868923793181914,3.3052840592092085,3.28084356220773,0.25
3.2789417687633953,3.292902687617201,3.2772937911053037,0.3
3.2794443854188193,3.291939859442411,3.2793005767057197,0.35000000000000003
3.2826048320308066,3.293146236841187,3.284505839268991,0.4
3.2808770790539974,3.290636598061604,3.2835562328301906,0.45
3.281375237478818,3.289299847099179,3.2858923787265293,0.5
