hx_all,hx_b,hx_w,mu
3.370730685171565,3.379167814438005,3.3763059035301968,0.05
3.3697579387399754,3.3780645698904195,3.3754226851632803,0.1
3.3684018596835905,3.376438232944801,3.3743154412354897,0.15000000000000002
3.368654975345784,3.37658673705802,3.3747048208326906,0.2
3.368957841655379,3.3765460953300073,3.3753597329603924,0.25
3.367935163867199,3.3750921340608144,3.3747277037346644,0.3
3.369157947098044,3.3765439810064044,3.3757088170061333,0.35000000000000003
3.3693055023788037,3.376776437432007,3.375835381948156,0.4
3.369147311605587,3.3763910909547965,3.375874110276747,0.45
3.3698144256100258,3.3775297112643816,3.3760982433628453,0.5
