mu,hx_w1,hx_w2,hx_w3,hx_w4,hx_w5,hx_b1,hx_b2,hx_b3,hx_b4,hx_b5
0.05,3.3304304388903554,3.37955117169283,3.3829386059779587,3.3829539190757707,3.389873812730434,3.3232859614893617,3.3776763869708484,3.3811848541768748,3.3825489403809237,3.3838726195146895
0.1,3.3300029497181027,3.3782852861995925,3.3812418593850477,3.3827609901474167,3.3954375154484304,3.328565084166666,3.3784297570242208,3.3811347584954605,3.3823598921736173,3.385456477200319
0.15000000000000002,3.3309556021472417,3.3813530325262393,3.3826746383932598,3.3832118086593774,3.3836749667424257,3.3272356665217386,3.3785362027697854,3.382085442346392,3.3829593855605737,3.383240832005297
0.2,3.3295528587166685,3.3791910519515733,3.382135263833032,3.382967809947584,3.3871639800359494,3.3370934576282045,3.381413418977124,3.381729765722319,3.3821485058450906,3.3864764907706824
0.25,3.3301212862611798,3.3783217379632426,3.3813927618682564,3.381557387630325,3.3829942364265126,3.323024650819674,3.3791420428545567,3.380920016073657,3.3813190456044655,3.3814568162182725
0.3,3.333058349233577,3.3804530854975137,3.381938906343921,3.3825944387861004,3.3827513417474493,3.327653652183405,3.378649264128035,3.3825166609225357,3.3826971720620316,3.3829383030873186
0.35000000000000003,3.333217615099602,3.381866354484591,3.382969109699756,3.3838198049717962,3.383557437358689,3.3298635838745367,3.3831404104458382,3.383653938920766,3.3832570419300816,3.3857278222452933
0.4,3.330781450180182,3.382173402263104,3.384317165377291,3.3845047321270925,3.3881840425479446,3.3279800162820505,3.3816064430495603,3.3836238262292406,3.384604091479284,3.3881421988717
0.45,3.328505951167108,3.375110191931467,3.379462719554012,3.3795344694845086,3.3819911734075334,3.3231659717757016,3.377526213230903,3.3785210391554714,3.379367086299322,3.379886568815904
0.5,3.325198878603353,3.3796792363362287,3.382162857535586,3.3832349841418523,3.3835482911678816,3.3342099593611123,3.378703405007022,3.3821181060814203,3.3833380757972638,3.3856976781908825
