hx_all,hx_b,hx_w,mu
3.34971561782609,3.36148099537744,3.349114564129683,0.05
3.3506175007881707,3.3597388577598712,3.3496671946861443,0.1
3.350737966443155,3.357087076000156,3.349740791278173,0.15000000000000002
3.3558224474626432,3.360396208958961,3.3548366811231336,0.2
3.353919126858142,3.3569570570185263,3.35307738348519,0.25
3.3536157392266,3.355663530907034,3.352917207709185,0.3
3.357087573853951,3.3587047839837973,3.3564187370935374,0.35000000000000003
3.3561586754884103,3.3570476404726173,3.3557209460140496,0.4
3.355866283189355,3.3562814777141066,3.3556246160749743,0.45
3.3533102427681425,3.353484725737668,3.3531882625748763,0.5
