hx_all,hx_b,hx_w,mu
3.460063795823546,3.4686620161610793,3.4596167065943666,0.05
3.4607132009220227,3.4670598367596113,3.4600574506996344,0.1
3.4631764510664667,3.4674625137880297,3.462495628252729,0.15000000000000002
3.4642982617168974,3.4675009357159703,3.4636101903722323,0.2
3.465551921057978,3.4676964045659924,3.4649624590492096,0.25
3.464110113628425,3.4656079779283364,3.463599531834539,0.3
3.463684634315459,3.4646068072024367,3.463307072850245,0.35000000000000003
3.4656468114602004,3.466203856852834,3.4653722932175453,0.4
0.0,0.0,0.0,0.45
3.46616123118572,3.4664269042663376,3.4659792241758036,0.5
