graph,ego_degree,quote_length,total_matches
star,178.0,13.0,0.01
star,251.0,1.0,10687935.48
star,251.0,2.0,2918803.555
star,251.0,3.0,547215.065
star,251.0,4.0,75159.08
star,251.0,5.0,7701.175
star,251.0,6.0,738.53
star,251.0,7.0,57.875
star,251.0,8.0,9.645
star,251.0,9.0,1.935
star,251.0,10.0,0.34
star,251.0,11.0,0.105
star,251.0,12.0,0.02
star,355.0,1.0,14975653.13
star,355.0,2.0,4151623.52
star,355.0,3.0,763543.845
star,355.0,4.0,105391.84
star,355.0,5.0,12312.53
star,355.0,6.0,1019.495
star,355.0,7.0,96.33
star,355.0,8.0,7.525
star,355.0,9.0,1.565
star,355.0,10.0,0.415
star,355.0,11.0,0.11
star,355.0,12.0,0.035
star,501.0,1.0,20711357.295
star,501.0,2.0,5608056.05
star,501.0,3.0,1052652.635
star,501.0,4.0,150705.915
star,501.0,5.0,15885.76
star,501.0,6.0,1760.595
star,501.0,7.0,187.64
star,501.0,8.0,12.61
star,501.0,9.0,1.55
star,501.0,10.0,0.38
star,501.0,11.0,0.09
star,501.0,12.0,0.02
star,708.0,1.0,29183049.56
star,708.0,2.0,8159819.01
star,708.0,3.0,1579607.795
star,708.0,4.0,212896.935
star,708.0,5.0,22200.05
star,708.0,6.0,1874.28
star,708.0,7.0,170.09
star,708.0,8.0,16.335
star,708.0,9.0,1.86
star,708.0,10.0,0.44
star,708.0,11.0,0.09
star,708.0,12.0,0.05
star,708.0,13.0,0.01
star,1000.0,1.0,41300098.065
star,1000.0,2.0,11614629.155
star,1000.0,3.0,2178195.95
star,1000.0,4.0,298986.175
star,1000.0,5.0,31355.87
star,1000.0,6.0,3445.44
star,1000.0,7.0,257.12
star,1000.0,8.0,22.15
star,1000.0,9.0,1.465
star,1000.0,10.0,0.54
star,1000.0,11.0,0.13
star,1000.0,12.0,0.035
star,1000.0,13.0,0.005
clique,1.0,1.0,41298.525
clique,1.0,2.0,11552.575
clique,1.0,3.0,2260.065
clique,1.0,4.0,387.115
clique,1.0,5.0,83.43
clique,1.0,6.0,29.055
clique,1.0,7.0,11.225
clique,1.0,8.0,4.03
clique,1.0,9.0,1.275
clique,1.0,10.0,0.42
clique,1.0,11.0,0.095
clique,1.0,12.0,0.035
clique,1.0,13.0,0.005
clique,1.0,15.0,0.005
clique,2.0,1.0,82840.88
clique,2.0,2.0,22926.055
clique,2.0,3.0,4444.035
clique,2.0,4.0,740.07
clique,2.0,5.0,136.035
clique,2.0,6.0,35.29
