graph,ego_degree,quote_length,total_matches
star,501.0,1,21075951.575
star,501.0,2,5852399.85
star,501.0,3,1133998.8
star,501.0,4,164489.965
star,501.0,5,19947.925
star,501.0,6,2341.8
star,501.0,7,239.235
star,501.0,8,31.815
star,501.0,9,3.84
star,501.0,10,0.645
star,501.0,11,0.175
star,501.0,12,0.03
star,501.0,13,0.015
star,501.0,14,0.005
star,708.0,1,30258830.075
star,708.0,2,8038775.18
star,708.0,3,1524208.93
star,708.0,4,227408.845
star,708.0,5,29375.22
star,708.0,6,3865.46
star,708.0,7,318.315
star,708.0,8,33.32
star,708.0,9,4.415
star,708.0,10,0.84
star,708.0,11,0.12
star,708.0,12,0.05
star,708.0,13,0.005
star,708.0,14,0.005
star,1000.0,1,41938643.545
star,1000.0,2,11626208.3
star,1000.0,3,2179063.175
star,1000.0,4,329149.825
star,1000.0,5,36549.0
star,1000.0,6,4252.92
star,1000.0,7,436.71
star,1000.0,8,57.08
star,1000.0,9,4.77
star,1000.0,10,0.77
star,1000.0,11,0.14
star,1000.0,12,0.03
star,1000.0,14,0.01
clique,1.0,1,42267.15
clique,1.0,2,12121.125
clique,1.0,3,2480.67
clique,1.0,4,456.92
clique,1.0,5,100.49
clique,1.0,6,32.0
clique,1.0,7,11.295
clique,1.0,8,4.16
clique,1.0,9,1.46
clique,1.0,10,0.435
clique,1.0,11,0.12
clique,1.0,12,0.025
clique,2.0,1,83524.68
clique,2.0,2,22966.515
clique,2.0,3,4494.205
clique,2.0,4,711.295
clique,2.0,5,134.4
clique,2.0,6,34.73
clique,2.0,7,12.04
clique,2.0,8,4.095
clique,2.0,9,1.25
clique,2.0,10,0.425
clique,2.0,11,0.12
clique,2.0,12,0.04
clique,2.0,13,0.025
clique,3.0,1,126784.28
clique,3.0,2,35844.145
clique,3.0,3,6759.81
clique,3.0,4,1069.88
clique,3.0,5,167.665
clique,3.0,6,36.695
clique,3.0,7,12.03
clique,3.0,8,4.195
clique,3.0,9,1.575
clique,3.0,10,0.41
clique,3.0,11,0.14
clique,3.0,12,0.045
clique,3.0,13,0.01
clique,3.0,14,0.005
clique,4.0,1,164973.34
clique,4.0,2,47191.98
clique,4.0,3,8872.405
clique,4.0,4,1396.415
clique,4.0,5,218.085
clique,4.0,6,41.685
clique,4.0,7,12.29
clique,4.0,8,4.18
clique,4.0,9,1.425
clique,4.0,10,0.445
clique,4.0,11,0.11
clique,4.0,12,0.02
clique,4.0,14,0.005
clique,6.0,1,253458.48
clique,6.0,2,69394.55
clique,6.0,3,13378.1
clique,6.0,4,1967.765
clique,6.0,5,266.415
clique,6.0,6,48.395
clique,6.0,7,13.55
clique,6.0,8,4.295
clique,6.0,9,1.325
clique,6.0,10,0.43
clique,6.0,11,0.105
clique,6.0,12,0.03
clique,6.0,13,0.01
clique,6.0,14,0.005
clique,8.0,1,334738.885
clique,8.0,2,91802.0
clique,8.0,3,17420.35
clique,8.0,4,2510.275
clique,8.0,5,336.825
clique,8.0,6,53.805
clique,8.0,7,12.865
clique,8.0,8,4.525
clique,8.0,9,1.475
clique,8.0,10,0.435
clique,8.0,11,0.12
clique,8.0,12,0.045
clique,8.0,13,0.005
clique,11.0,1,462060.485
clique,11.0,2,128038.365
clique,11.0,3,23862.635
clique,11.0,4,3350.065
clique,11.0,5,429.485
clique,11.0,6,59.515
clique,11.0,7,14.04
clique,11.0,8,4.31
clique,11.0,9,1.515
clique,11.0,10,0.455
clique,11.0,11,0.105
clique,11.0,12,0.025
clique,16.0,1,678336.44
clique,16.0,2,181589.62
clique,16.0,3,34046.1
clique,16.0,4,5055.765
clique,16.0,5,557.105
clique,16.0,6,81.11
clique,16.0,7,15.14
clique,16.0,8,4.245
clique,16.0,9,1.25
clique,16.0,10,0.425
clique,16.0,11,0.13
clique,16.0,12,0.025
clique,16.0,13,0.01
clique,22.0,1,902704.29
clique,22.0,2,258627.34
clique,22.0,3,46411.5
clique,22.0,4,6950.915
clique,22.0,5,845.31
clique,22.0,6,91.9
clique,22.0,7,16.82
clique,22.0,8,4.445
clique,22.0,9,1.345
clique,22.0,10,0.36
clique,22.0,11,0.14
clique,22.0,12,0.04
clique,32.0,1,1370425.685
clique,32.0,2,373624.4
clique,32.0,3,66498.995
clique,32.0,4,9329.9
clique,32.0,5,1017.45
clique,32.0,6,131.675
clique,32.0,7,18.66
clique,32.0,8,4.875
clique,32.0,9,1.455
clique,32.0,10,0.465
clique,32.0,11,0.09
clique,32.0,12,0.04
clique,32.0,13,0.01
clique,45.0,1,1851921.165
clique,45.0,2,508271.98
clique,45.0,3,97302.65
clique,45.0,4,13295.78
clique,45.0,5,1437.13
clique,45.0,6,178.01
clique,45.0,7,20.3
clique,45.0,8,4.32
clique,45.0,9,1.445
clique,45.0,10,0.375
clique,45.0,11,0.11
clique,45.0,12,0.025
clique,45.0,13,0.015
clique,63.0,1,2650992.135
clique,63.0,2,734121.585
clique,63.0,3,135091.58
clique,63.0,4,19811.53
clique,63.0,5,2122.185
clique,63.0,6,192.035
clique,63.0,7,22.995
clique,63.0,8,5.82
clique,63.0,9,1.355
clique,63.0,10,0.5
clique,63.0,11,0.12
clique,63.0,12,0.02
clique,63.0,13,0.005
clique,89.0,1,3756574.625
clique,89.0,2,1052001.46
clique,89.0,3,190293.44
clique,89.0,4,26154.37
clique,89.0,5,2996.91
clique,89.0,6,295.535
clique,89.0,7,31.3
clique,89.0,8,4.94
clique,89.0,9,1.445
clique,89.0,10,0.425
clique,89.0,11,0.1
clique,89.0,12,0.015
clique,89.0,15,0.005
clique,126.0,1,5134975.005
clique,126.0,2,1460757.71
clique,126.0,3,269146.685
clique,126.0,4,36966.17
clique,126.0,5,4337.86
clique,126.0,6,411.07
clique,126.0,7,54.225
clique,126.0,8,5.28
clique,126.0,9,1.5
clique,126.0,10,0.45
clique,126.0,11,0.09
clique,126.0,12,0.03
clique,126.0,14,0.005
clique,178.0,1,7340523.22
clique,178.0,2,2053133.06
clique,178.0,3,383259.83
clique,178.0,4,51757.835
clique,178.0,5,5706.48
clique,178.0,6,609.65
clique,178.0,7,54.215
clique,178.0,8,8.315
clique,178.0,9,1.465
clique,178.0,10,0.41
clique,178.0,11,0.1
clique,178.0,12,0.025
clique,178.0,13,0.01
clique,178.0,14,0.005
clique,251.0,1,10560726.96
clique,251.0,2,2860400.335
clique,251.0,3,535489.21
clique,251.0,4,73289.21
clique,251.0,5,8422.025
clique,251.0,6,815.82
clique,251.0,7,67.04
clique,251.0,8,5.96
clique,251.0,9,1.36
clique,251.0,10,0.425
clique,251.0,11,0.12
clique,251.0,12,0.025
clique,355.0,1,14840207.08
clique,355.0,2,4140192.015
clique,355.0,3,749091.005
clique,355.0,4,103853.09
clique,355.0,5,12607.645
clique,355.0,6,1196.975
clique,355.0,7,74.77
clique,355.0,8,8.83
clique,355.0,9,1.415
clique,355.0,10,0.42
clique,355.0,11,0.065
clique,355.0,12,0.03
clique,355.0,13,0.015
clique,501.0,1,20607262.525
clique,501.0,2,5753423.715
clique,501.0,3,1082965.35
clique,501.0,4,155379.98
clique,501.0,5,16473.13
clique,501.0,6,1617.92
clique,501.0,7,119.39
clique,501.0,8,11.24
clique,501.0,9,1.725
clique,501.0,10,0.42
clique,501.0,11,0.155
clique,501.0,12,0.015
clique,501.0,13,0.005
clique,708.0,1,29661483.565
clique,708.0,2,8218849.37
clique,708.0,3,1574004.71
clique,708.0,4,210171.42
clique,708.0,5,24440.875
clique,708.0,6,2512.435
clique,708.0,7,155.22
clique,708.0,8,8.45
clique,708.0,9,1.565
clique,708.0,10,0.4
clique,708.0,11,0.085
clique,708.0,12,0.03
clique,708.0,13,0.01
clique,1000.0,1,41989802.96
clique,1000.0,2,11711517.585
clique,1000.0,3,2182626.78
clique,1000.0,4,301011.19
clique,1000.0,5,31699.445
clique,1000.0,6,3382.705
clique,1000.0,7,300.375
clique,1000.0,8,15.36
clique,1000.0,9,1.69
clique,1000.0,10,0.45
clique,1000.0,11,0.105
clique,1000.0,12,0.03
clique,1000.0,13,0.01
