hx_avg,hx_std,q
3.3776434782484,0.051556643592848846,0.0
3.3748539661264,0.04975328504053785,0.1
3.3764516607500004,0.049321026472709924,0.2
3.369175415916,0.048821678606512924,0.30000000000000004
3.3619088174695997,0.050312688233931174,0.4
3.3589017440488003,0.05036395304222408,0.5
3.350432632618,0.051452891283795675,0.6000000000000001
3.3345454076288,0.05614583433887078,0.7000000000000001
3.3015501031008,0.06030402025519131,0.8
3.2640222118587996,0.07391226806841009,0.9
3.1738590121147996,0.0974685033759382,1.0
