hx_avg,hx_std,q
3.3769070460736,0.05004952562060782,0.0
3.3751651427496006,0.050087787152489606,0.1
3.3719312776572,0.04800098965437365,0.2
3.3691131102232,0.05062946574649747,0.30000000000000004
3.3696597823984002,0.04734717870538254,0.4
3.3676486290567995,0.047595806827348174,0.5
3.363280333154,0.051310197281863736,0.6000000000000001
3.3658656289284,0.05018998223995228,0.7000000000000001
3.3638169032899996,0.05186202798344831,0.8
3.3602377093164,0.04990266862525962,0.9
3.3569317871048,0.050629545126916246,1.0
