graph,ego_degree,quote_length,total_matches
clique,5,9.0,1.3195
clique,5,10.0,0.419
clique,5,11.0,0.117
clique,5,12.0,0.029
clique,5,13.0,0.0075
clique,5,14.0,0.001
clique,6,1.0,250364.8975
clique,6,2.0,70529.144
clique,6,3.0,13203.266
clique,6,4.0,1980.5155
clique,6,5.0,267.2965
clique,6,6.0,48.228
clique,6,7.0,12.6705
clique,6,8.0,4.2065
clique,6,9.0,1.355
clique,6,10.0,0.375
clique,6,11.0,0.112
clique,6,12.0,0.026
clique,6,13.0,0.006
clique,6,15.0,0.0005
clique,6,16.0,0.0005
clique,7,1.0,292548.0685
clique,7,2.0,81691.631
clique,7,3.0,15306.715
clique,7,4.0,2229.819
clique,7,5.0,301.4265
clique,7,6.0,49.7115
clique,7,7.0,13.181
clique,7,8.0,4.264
clique,7,9.0,1.4035
clique,7,10.0,0.3935
clique,7,11.0,0.1075
clique,7,12.0,0.023
clique,7,13.0,0.0035
clique,7,14.0,0.0005
clique,8,1.0,333897.012
clique,8,2.0,93193.8135
clique,8,3.0,17467.709
clique,8,4.0,2578.1495
clique,8,5.0,338.4905
clique,8,6.0,53.895
clique,8,7.0,13.4485
clique,8,8.0,4.316
clique,8,9.0,1.373
clique,8,10.0,0.4035
clique,8,11.0,0.104
clique,8,12.0,0.031
clique,8,13.0,0.007
clique,8,14.0,0.0015
clique,8,15.0,0.0005
clique,9,1.0,372214.9315
clique,9,2.0,104416.035
clique,9,3.0,19568.3805
clique,9,4.0,2826.777
clique,9,5.0,379.6675
clique,9,6.0,57.0785
clique,9,7.0,13.7405
clique,9,8.0,4.355
clique,9,9.0,1.3675
clique,9,10.0,0.4145
clique,9,11.0,0.1155
clique,9,12.0,0.025
clique,9,13.0,0.007
clique,9,14.0,0.002
clique,9,15.0,0.0005
clique,10,1.0,418642.0435
clique,10,2.0,115997.7365
clique,10,3.0,21789.881
clique,10,4.0,3119.992
clique,10,5.0,401.938
clique,10,6.0,59.0335
clique,10,7.0,13.797
clique,10,8.0,4.3585
clique,10,9.0,1.3785
clique,10,10.0,0.4245
clique,10,11.0,0.106
clique,10,12.0,0.034
clique,10,13.0,0.006
clique,10,14.0,0.0015
