k,peak_size
2.0,892.4835875875879
4.0,567.8177927927928
6.0,394.40980080079953
8.0,255.26210110110105
10.0,228.31559159159175
12.0,183.69653553553582
14.0,166.54424024024013
16.0,145.3395155155153
18.0,130.33045445445453
20.0,116.3029739739742
22.0,111.33693693693691
24.0,99.71097497497409
26.0,93.10073173173164
28.0,85.3368368368366
30.0,78.18219819819844
32.0,74.33356456456487
34.0,75.72695795795767
36.0,70.39713313313327
38.0,67.47429029029055
40.0,64.76211811811812
