m,peak_size
2.0,179.18
4.0,520.53
6.0,643.849
8.0,713.221
10.0,756.167
12.0,788.131
14.0,810.722
16.0,828.276
18.0,843.631
20.0,855.295
22.0,865.484
24.0,874.143
26.0,882.242
28.0,888.32
30.0,894.722
32.0,899.869
34.0,904.214
36.0,908.183
38.0,912.365
40.0,916.232
