k,peak_size
2.0,586.356
4.0,802.936
6.0,835.385
8.0,844.673
10.0,846.194
12.0,845.04
14.0,827.244
16.0,690.349
18.0,324.439
20.0,144.692
22.0,65.04
24.0,54.558
26.0,52.955
28.0,52.112
30.0,51.46
32.0,51.04
34.0,50.703
36.0,50.506
38.0,50.296
40.0,50.3
