m,peak_size
2.0,1883.855455455454
4.0,609.5446446446441
6.0,372.2264254254252
8.0,285.1893483483489
10.0,233.26837937937884
12.0,201.40524424424424
14.0,184.7374534534533
16.0,169.9697937937938
18.0,153.99883783783923
20.0,129.6175925925923
22.0,124.19393793793792
24.0,126.13068168168176
26.0,105.99943543543549
28.0,112.18578578578571
30.0,101.2459619619618
32.0,95.54938838838892
34.0,96.83704104104115
36.0,90.68819919919937
38.0,83.8376126126131
40.0,84.08826426426424
