h_avg,h_std
2.5840980468989496,0.14089057559625665
2.6102852358313497,0.09601439891357293
2.6192187542801,0.08469029352241061
2.6252039778231997,0.07948799486427023
2.6295719590072997,0.07679534331007344
2.6319526053701,0.07535971310114369
2.6342408158876993,0.074343307577851
2.6364193885811993,0.07346391208561041
2.6379890183168,0.07294759051359706
2.6390418296904503,0.0723803679506889
2.64061236174045,0.0720056968606101
2.6416192484651004,0.0718527171538405
2.642451766535126,0.07147870771800854
2.643066511990171,0.07132242821906148
2.6440031483213136,0.07127824664744621
2.6446800812547444,0.07095339933149997
2.6452562820022454,0.07101268545250032
2.645982992506276,0.07071382922119991
2.6463592326214287,0.07065215188229751
2.6469202343160205,0.07059703173846592
2.647354506349898,0.07041714563847581
2.6481250907508667,0.07031701455482726
2.6483170550499997,0.07021144337632508
2.6488718593705105,0.07008707958646665
2.649045481919898,0.07030030393492989
