h_avg,h_std
2.6655988377667,0.03252118785359366
2.6701675579593993,0.029923241989675522
2.67256725068385,0.028853376420325053
2.6739410442094504,0.028482933293384704
2.6746757096201,0.02812288027097175
2.6751674888024497,0.027945100955285074
2.675575130815651,0.02784066465988876
2.6757551862431,0.027792673565293833
2.675915021890499,0.02775136975833829
2.6762138112952,0.027608803497658777
2.6759905404971005,0.027724455426183632
2.6762652796131996,0.027574869786424715
2.67624401346045,0.027576755267443166
2.6766898035785003,0.02755549102528251
2.6764251447947,0.027546574800044122
2.6764113248928503,0.02752241256720702
2.6765462063443497,0.027570516791033513
2.6764469645368005,0.027523246853338637
2.6763998866075998,0.027525466348206188
2.6764942264164997,0.027485054479712893
2.6766854021118,0.027454461620376902
2.6766513730308996,0.02754015540273995
2.67669317367985,0.027438889718756892
2.6765989579033502,0.0274342762888527
2.6765971337084,0.02750455735771257
