average_degree,density,hx_avg,hx_std,transitivity
1.9992400000000001,0.00200124115,1.2931526995218998,0.08710659986668007,0.0020938255000000003
4.00267,0.0040066767499999986,1.2957633181206998,0.07173481984074205,0.004061519100000003
6.007290000000001,0.006013303350000001,1.2961265476930999,0.06474436912625542,0.005993898099999998
8.00876,0.00801677655,1.2970887089398002,0.0626251884189317,0.008067264649999998
9.997819999999994,0.010007827850000001,1.2962089151504,0.05991314349068445,0.01006060055
11.98816,0.012000160550000007,1.2962118101755002,0.05821627793729178,0.012065572300000004
13.997110000000005,0.014011121400000007,1.2964331722090998,0.05777456103970846,0.014067056250000001
16.01215,0.01602817825000001,1.2964748645327,0.05733164813463245,0.016033827749999993
18.00031,0.018018328250000003,1.2967372625618,0.05657114249864078,0.017992198799999998
20.01123000000001,0.02003126125000001,1.2959140328967,0.055614574691433015,0.019973935650000007
21.97667,0.02199866849999999,1.2959207070084002,0.055510568677998175,0.021982956100000003
24.014800000000005,0.024038839250000006,1.2958485974055,0.05553978543379946,0.02400403869999999
26.026780000000013,0.026052832649999993,1.2959408288621,0.05493626435207902,0.025982484449999996
28.00361000000001,0.028031641950000005,1.2957335263564,0.054986224641048985,0.028059982200000003
29.97490452261307,0.030004909648241204,1.2959456684113566,0.05471064363836661,0.030010491809045223
31.982406091370557,0.03201442060913704,1.2959207854009136,0.054870382454299205,0.031963080812182736
34.003844444444425,0.03403788222222224,1.2956422623551112,0.05337694423832567,0.034087641555555555
35.991865168539306,0.03602789292134832,1.2960936060052808,0.05359733126349895,0.03604660584269663
38.032610687022895,0.03807068137404581,1.2956397876233585,0.053042596361691334,0.0380753748091603
40.064533333333316,0.04010463809523808,1.295085579483238,0.052204804280878044,0.04009540457142857
41.957580952380965,0.04199958057142857,1.294755219782095,0.05293424724783616,0.04201935304761904
44.04512380952383,0.044089212857142866,1.2953560457270477,0.05336287606321305,0.044120774476190484
46.01645714285714,0.04606251942857142,1.2956226813537144,0.05322727232471812,0.04606450352380954
48.004628571428576,0.04805268152380954,1.2956214677272382,0.05341094744567151,0.048035193904761915
49.99022857142858,0.05004026885714289,1.2955720377337143,0.05349952790494077,0.05003910314285715
