h_avg,h_std
2.6467728174522995,0.08880910430220583
2.6527048960635007,0.07847708858845603
2.6566363807135995,0.07422414699639775
2.6585241662490007,0.07266740727362907
2.6595351581408,0.07179203538500989
2.6605374264245003,0.07123432109528677
2.660963241913,0.07091651288193404
2.6617842708330004,0.07059063350201196
2.6622301226496,0.07046666092655024
2.66221721682295,0.07015301226835839
2.66254107834755,0.06995889458771895
2.6627631926585495,0.06998731220437907
2.6628837931944,0.06991525204502416
2.66314690514195,0.06995633450665736
2.6634365543456995,0.06970240590873403
2.6636827208970506,0.06950702044602301
2.663590987914192,0.06982393955503252
2.66343937977485,0.06958643311946308
2.663707266664263,0.06943504990794913
2.6635793776715735,0.06964578330238223
2.6638176109884975,0.06941148272135297
2.6639185108408285,0.06960431689489799
2.66395139518551,0.06947230127374386
2.6640452826159065,0.06931698322384437
2.6641871279042637,0.06927000183368094
