degree,h_avg
1.0,2.6829539284374997
2.0,2.6764074808474576
3.0,2.6773489280000002
4.0,2.678060786315523
5.0,2.6771152875220317
6.0,2.677100456295364
7.0,2.675922792399164
8.0,2.6765338796819846
9.0,2.676269559701794
10.0,2.675954336423767
11.0,2.677080203109398
12.0,2.6764984298127428
13.0,2.677335336312975
14.0,2.6768170860221874
15.0,2.6766415553993474
16.0,2.676698586574167
17.0,2.676580902839641
18.0,2.6772441382782537
19.0,2.6779296379125115
20.0,2.6759089577441806
21.0,2.676585985853723
22.0,2.6769987835249256
23.0,2.677151624518329
24.0,2.677095938512341
25.0,2.677531373470226
26.0,2.67729050568032
27.0,2.678015153072204
28.0,2.6774685228227395
29.0,2.677334883156187
30.0,2.676189855895634
31.0,2.6766563795414946
32.0,2.6777387741826324
33.0,2.6769249745471595
34.0,2.6774294487119725
35.0,2.677451163238251
36.0,2.6771364811641516
37.0,2.677362080841704
38.0,2.6771924933937523
39.0,2.676565346322993
40.0,2.6774656066041667
41.0,2.6777592348258135
42.0,2.6774495611701457
43.0,2.6775260277671333
44.0,2.678321875182648
45.0,2.677340992372204
46.0,2.6775760264304465
47.0,2.6752374671059664
48.0,2.6745332379022986
49.0,2.6774000545005254
50.0,2.6758523113359374
51.0,2.6774554818081766
52.0,2.6773930791909923
53.0,2.6768930356379306
54.0,2.6772042550665396
55.0,2.6761826574397034
56.0,2.676573482754065
57.0,2.6770408147703546
58.0,2.677364250010504
59.0,2.678024808213531
60.0,2.677128924386617
61.0,2.676217731826809
62.0,2.6751494711366384
63.0,2.676302680065189
64.0,2.6763328269377378
65.0,2.677728950189702
66.0,2.676644545430657
67.0,2.676237361533923
68.0,2.6766103232012193
69.0,2.6760619716401273
70.0,2.6766042319500003
71.0,2.6746719426475547
72.0,2.6748922165445026
73.0,2.6786512586419753
74.0,2.677102765981132
75.0,2.677407311784387
76.0,2.6772777688402627
77.0,2.677480312835821
78.0,2.675672778384956
79.0,2.674843277345972
80.0,2.6755371381294966
81.0,2.678420518611825
82.0,2.6777144185285287
83.0,2.6772196464477616
84.0,2.6761581339932885
85.0,2.678192050421053
86.0,2.675636332735043
87.0,2.6764920345414853
88.0,2.675289965655738
89.0,2.6747425015420565
90.0,2.6815425921327014
91.0,2.6793572281
92.0,2.6776229645405403
93.0,2.6758851440223466
94.0,2.6796067384375
95.0,2.6822350326595745
96.0,2.6707809145070422
97.0,2.677739298723404
98.0,2.6804133237500003
99.0,2.6837084633333332
