ASPL,assortativity,average_degree,density,hx_avg,hx_std,transitivity
1.6798090910500008,-0.024164256300000006,4.991499999999999,0.05041919184999998,3.159977436229891,0.11557786875339486,0.050018381599999995
2.197963636600001,-0.022670056750000004,9.984499999999995,0.1008535355,3.2368983929497714,0.07634378928260911,0.10074132544999999
1.9332696972999996,-0.017078380400000003,15.062700000000001,0.15214848490000007,3.2676724462381235,0.06831830445287086,0.15203263059999997
1.8094878782999988,-0.020808093250000003,20.118300000000005,0.20321515155,3.283389218997902,0.06811525949116684,0.20246458560000005
1.748394949700001,-0.021331898000000012,25.0223,0.25275050495,3.287597610811055,0.06807801352660328,0.25227524170000015
1.6965525253500005,-0.0190092561,30.045699999999997,0.3034919190500002,3.2914668140341043,0.06743959646686867,0.30334104655
1.6463909092999993,-0.021016935999999986,35.00729999999998,0.35360909070000013,3.2951887477123614,0.06435441488360343,0.35314601219999986
1.5956888887999994,-0.020585088949999993,40.0268,0.4043111111999999,3.3009902573377077,0.06869374066229265,0.40402763430000005
1.5453000001500008,-0.020064641849999988,45.0153,0.4546999998499998,3.301666095461122,0.06824828949587117,0.4545859726999999
1.4938916808542722,-0.02111707356783919,50.10472361809048,0.5061083191457287,3.3064924474541058,0.06624952678164724,0.5058030956281405
